Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,First Ballot,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Blake Ahearn,2007,2012,3,1,PG,MIA,19,4.6,88,1.2,22,1.2,22,0.4,7,0.0,0,27.3,29.8,97.0,36.4,7.2,-0.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ainge,1981,1995,14,1,SG,BOS,1042,11.5,11964,2.7,2768,4.0,4199,1.1,1133,0.1,132,46.9,37.8,84.6,51.9,14.7,5.1,71.5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinça,2008,2017,7,1,C,NOP,293,5.3,1553,3.9,1150,0.5,143,0.3,102,0.6,181,50.3,28.6,79.7,50.7,14.9,1.1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Akin,1966,1969,3,1,PF,NYK,88,3.5,308,2.1,181,0.5,40,0.0,0,0.0,0,35.0,0.0,67.6,35.0,7.4,-0.4,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Akognon,2012,2013,1,1,PG,DAL,3,1.7,5,0.3,1,0.3,1,0.0,0,0.0,0,50.0,50.0,0.0,62.5,15.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Alabi,2010,2012,2,1,C,TOR,26,1.5,39,2.3,61,0.2,5,0.2,4,0.4,11,31.4,0.0,70.0,31.4,10.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Alarie,1986,1991,5,1,PF,WAS,325,7.5,2432,3.4,1120,1.1,363,0.4,132,0.3,109,47.5,25.2,77.5,48.3,13.0,1.7,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Alcorn,1959,1961,2,1,C,DET,78,3.3,261,4.2,329,0.3,24,0.0,0,0.0,0,29.3,0.0,59.8,0.0,6.5,-0.7,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furkan Aldemir,2014,2015,1,1,PF,PHI,41,2.3,93,4.3,176,0.7,28,0.4,17,0.4,16,51.3,0.0,48.1,51.3,12.0,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Aldrich,2010,2018,8,1,C,OKC,339,3.1,1050,3.3,1131,0.5,183,0.4,137,0.7,233,52.7,0.0,73.8,52.7,16.6,1.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuck Aleksinas,1984,1985,1,1,C,GSW,74,5.1,377,3.6,270,0.5,36,0.2,15,0.2,15,47.8,0.0,73.3,47.8,9.1,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Alexander,2015,2016,1,1,PF,POR,8,1.3,10,0.8,6,0.0,0,0.1,1,0.3,2,50.0,0.0,0.0,50.0,11.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Alexander,1995,2005,7,1,PG,SAS,307,5.5,1677,1.6,481,2.7,834,0.9,263,0.1,37,38.9,35.4,75.6,46.8,12.4,0.4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Alexander,2000,2003,3,1,PG,WAS,187,9.0,1690,2.2,409,1.2,227,0.6,111,0.1,18,42.2,33.9,81.3,43.5,11.5,1.4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gary Alexander,1993,1994,1,1,PF,MIA,11,1.7,19,1.4,15,0.2,2,0.3,3,0.0,0,57.1,0.0,33.3,57.1,8.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Alexander,2008,2010,2,1,SF,MIL,67,4.2,282,1.8,120,0.7,44,0.2,16,0.4,30,41.0,34.0,69.8,44.2,9.9,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Alexander,1991,2002,5,1,C,GSW,286,8.9,2542,4.8,1384,0.9,257,0.5,135,0.6,177,51.8,28.6,63.4,52.2,13.7,1.8,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Alford,1987,1991,4,1,PG,DAL,169,4.4,744,0.9,144,1.0,176,0.5,85,0.1,10,45.9,32.4,87.0,48.7,14.4,0.8,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Allen,1968,1969,1,1,PF,GSW,27,1.8,48,2.1,56,0.4,10,0.0,0,0.0,0,32.6,0.0,55.6,0.0,6.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Allen,1995,1997,2,1,SG,MIN,117,2.9,336,1.1,123,1.7,201,0.4,52,0.1,9,35.0,31.7,63.0,41.1,8.5,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavoy Allen,2011,2017,6,1,PF,IND,388,4.8,1847,4.8,1843,1.0,384,0.3,120,0.6,214,47.1,13.3,68.2,47.2,12.5,2.3,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucius Allen,1969,1979,10,1,PG,MIL,702,13.4,9407,3.1,2205,4.5,3174,1.5,604,0.3,124,46.3,0.0,76.0,0.0,15.5,4.2,42.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Malik Allen,2001,2011,10,1,PF,MIA,478,4.9,2334,2.8,1353,0.5,228,0.3,130,0.5,220,43.9,18.8,77.8,44.0,9.9,0.7,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Allen,1988,1990,2,1,SG,SAC,70,3.6,252,2.1,145,0.3,23,0.2,17,0.3,20,44.2,0.0,53.3,44.2,8.3,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Allen,2004,2018,14,1,SG,MEM,820,8.1,6654,3.5,2884,1.3,1077,1.4,1158,0.4,337,47.5,28.2,70.9,48.7,14.2,2.8,38.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
Odis Allison,1971,1972,1,1,SF,GSW,36,1.9,67,1.3,45,0.3,10,0.0,0,0.0,0,21.8,0.0,54.1,0.0,4.7,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Allred,2007,2008,1,1,C,CLE,3,1.0,3,0.3,1,0.0,0,0.0,0,0.0,0,25.0,0.0,50.0,25.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Allums,1980,1981,1,1,PF,DAL,22,2.7,59,3.0,65,1.1,25,0.2,5,0.4,8,34.3,0.0,59.1,34.3,5.3,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris Almond,2007,2012,3,1,SG,UTA,38,3.1,119,1.2,46,0.3,12,0.3,12,0.1,4,38.1,29.2,74.3,41.2,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Alston,1994,1997,3,1,C,PHI,139,5.4,751,3.8,525,0.7,94,0.7,95,0.6,87,48.9,14.3,48.7,49.0,11.7,0.9,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafer Alston,1999,2010,11,1,PG,HOU,671,10.1,6799,2.8,1891,4.8,3202,1.2,813,0.2,105,38.3,35.4,72.9,46.1,13.2,3.0,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Aluma,1998,1999,1,1,C,SAC,2,1.0,2,1.0,2,0.0,0,0.5,1,0.5,1,50.0,0.0,0.0,50.0,3.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Amaechi,1995,2003,5,1,C,ORL,294,6.2,1837,2.6,772,0.8,228,0.3,90,0.3,94,40.3,7.7,67.1,40.3,8.9,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashraf Amaya,1995,1997,2,1,PF,MEM,85,4.5,379,4.2,355,0.4,36,0.3,29,0.2,13,45.5,50.0,63.3,45.7,11.5,0.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou Amundson,2006,2016,10,1,PF,PHI,428,3.7,1564,3.6,1541,0.4,190,0.4,152,0.7,306,47.4,0.0,44.4,47.4,12.0,0.7,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Anderegg,1959,1960,1,1,SF,NYK,33,4.0,133,2.1,69,0.9,29,0.0,0,0.0,0,38.5,0.0,54.8,0.0,9.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Andersen,2001,2017,15,1,C,DEN,695,5.4,3755,5.0,3493,0.5,337,0.4,312,1.4,991,53.2,22.1,65.4,53.5,16.7,2.6,39.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
David Andersen,2009,2011,2,1,PF,HOU,103,4.9,501,2.8,292,0.6,57,0.2,20,0.2,21,44.0,34.7,67.4,47.8,11.7,0.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Anderson,2005,2017,8,1,SF,CHO,330,7.3,2421,2.2,714,1.1,371,0.6,182,0.1,31,40.5,34.4,81.6,48.4,10.3,0.9,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Anderson,2009,2010,1,1,SF,OKC,1,2.0,2,1.0,1,0.0,0,0.0,0,0.0,0,33.3,0.0,0.0,33.3,-1.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
