Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,First Ballot,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Howard Eisley,1994,2006,12,1,PG,UTA,786,6.5,5116,1.7,1324,3.5,2748,0.7,540,0.1,83,40.7,35.0,82.7,46.3,11.5,1.6,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obinna Ekezie,1999,2005,4,1,PF,MEM,143,3.6,510,2.7,383,0.2,31,0.3,38,0.2,27,42.3,0.0,72.0,42.3,11.2,0.4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalid El-Amin,2000,2001,1,1,PG,CHI,50,6.3,314,1.6,81,2.9,145,1.0,48,0.0,2,37.0,33.3,77.8,41.5,12.2,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Elie,1990,2001,11,1,SF,HOU,732,8.6,6265,2.8,2017,2.6,1875,0.9,671,0.2,129,47.3,36.5,85.4,53.7,13.1,4.4,48.9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Bob Elliott,1978,1981,3,1,PF,BRK,141,7.0,980,3.6,502,1.4,204,0.5,69,0.2,34,49.4,33.3,64.9,49.6,12.3,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Elliott,1989,2001,12,1,SF,SAS,742,14.2,10544,4.3,3204,2.6,1897,0.8,576,0.4,284,46.5,37.5,79.9,50.0,13.9,4.6,55.7,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bo Ellis,1977,1980,3,1,PF,DEN,168,3.6,613,2.9,482,0.7,113,0.4,69,0.5,84,43.1,0.0,73.1,43.1,10.2,0.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boo Ellis,1958,1960,2,1,PF,LAL,118,5.1,607,5.2,616,0.7,86,0.0,0,0.0,0,40.2,0.0,69.5,0.0,12.8,1.6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Ellis,1983,2000,17,1,SG,OKC,1209,15.7,19004,3.5,4201,1.4,1746,0.8,974,0.2,183,47.9,40.3,78.4,53.6,16.0,5.0,84.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Harold Ellis,1993,1998,3,1,SF,LAC,145,5.8,840,2.0,291,0.6,89,1.1,159,0.1,18,52.7,4.8,65.3,52.8,16.4,1.5,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Ellis,1966,1974,8,1,SF,GSW,524,8.8,4623,5.1,2686,1.4,716,0.7,33,0.2,9,39.8,0.0,72.7,0.0,12.1,0.6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaPhonso Ellis,1992,2003,11,1,PF,DEN,624,11.9,7410,6.5,4032,1.6,981,0.7,433,0.8,477,45.2,30.2,73.0,47.1,14.6,3.0,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LeRon Ellis,1991,1996,3,1,C,LAC,91,3.0,277,2.4,220,0.3,29,0.3,25,0.4,37,43.3,0.0,61.3,43.3,11.9,0.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leroy Ellis,1962,1976,14,1,C,LAL,1048,9.7,10176,8.3,8709,1.3,1405,0.8,146,0.8,151,44.2,0.0,72.8,0.0,13.2,3.3,46.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Monta Ellis,2005,2017,12,1,SG,GSW,833,17.8,14858,3.5,2874,4.6,3856,1.7,1409,0.3,281,45.1,31.4,77.2,48.0,16.0,3.5,41.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pervis Ellison,1989,2001,11,1,C,BOS,474,9.5,4494,6.7,3170,1.5,691,0.6,293,1.6,752,51.0,5.0,68.9,51.0,15.2,2.0,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Len Elmore,1974,1984,10,1,C,IND,658,6.0,3948,5.1,3360,0.9,616,0.9,582,1.0,674,41.0,20.0,72.6,41.0,11.5,1.9,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Elson,2003,2012,9,1,C,DEN,472,3.7,1726,3.5,1638,0.6,260,0.5,228,0.5,255,47.8,18.8,70.0,47.9,10.0,1.3,11.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Melvin Ely,2002,2014,9,1,C,CHO,375,5.3,1992,3.2,1215,0.7,261,0.3,99,0.6,209,46.0,0.0,62.5,46.0,10.6,0.4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andre Emmett,2004,2012,2,1,SG,MEM,14,1.4,20,0.6,8,0.1,1,0.1,2,0.1,1,46.2,0.0,61.5,46.2,8.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Engelstad,1988,1989,1,1,PF,DEN,11,2.5,28,1.5,16,0.6,7,0.1,1,0.0,0,37.9,0.0,60.0,37.9,12.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Engler,1982,1988,5,1,C,BRK,195,1.8,343,2.0,386,0.2,45,0.2,32,0.2,42,41.1,0.0,67.7,41.1,7.2,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. English,1990,1992,2,1,SG,WAS,151,9.9,1502,2.1,315,2.1,320,0.4,57,0.2,24,43.5,13.8,77.8,43.8,11.6,0.6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude English,1970,1971,1,1,NA,POR,18,1.5,27,1.1,20,0.3,6,0.0,0,0.0,0,26.2,0.0,71.4,0.0,3.8,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jo Jo English,1992,1995,3,1,SG,CHI,50,3.6,179,1.1,54,0.9,46,0.4,18,0.3,13,41.6,34.4,55.6,44.7,6.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim English,2012,2013,1,1,SG,DET,41,2.9,119,0.9,37,0.6,26,0.4,16,0.1,3,37.5,28.0,72.4,43.8,7.9,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene Englund,1949,1950,1,1,NA,BOS,46,7.8,360,0.0,0,0.9,41,0.0,0,0.0,0,38.0,0.0,79.2,0.0,0.0,4.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ennis,2014,2018,4,1,PG,MIL,186,4.2,779,1.3,250,1.9,359,0.5,98,0.1,18,41.9,31.7,76.8,46.3,10.3,0.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Epps,1978,1979,1,1,SF,GSW,13,2.0,26,0.4,5,0.2,2,0.1,1,0.0,0,43.5,0.0,75.0,0.0,7.9,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semih Erden,2010,2012,2,1,C,CLE,69,3.8,262,2.8,190,0.4,29,0.4,25,0.4,29,54.6,0.0,59.4,54.6,10.1,0.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo Erias,1957,1958,1,1,SF,LAL,18,8.2,148,4.6,83,1.4,26,0.0,0,0.0,0,34.7,0.0,63.8,0.0,8.9,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Erickson,1965,1977,12,1,SF,LAL,766,9.5,7251,4.5,3449,2.6,1991,0.9,222,0.2,45,43.5,0.0,76.9,0.0,12.2,2.1,25.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Evan Eschmeyer,1999,2003,4,1,C,BRK,153,2.8,421,3.9,601,0.5,76,0.5,69,0.6,95,46.3,0.0,62.1,46.3,10.6,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincenzo Esposito,1995,1996,1,1,PG,TOR,30,3.9,116,0.5,16,0.8,23,0.2,7,0.0,0,36.0,23.2,79.5,42.5,5.2,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Evans,1949,1950,1,1,NA,INO,47,3.0,142,0.0,0,1.2,55,0.0,0,0.0,0,28.0,0.0,68.2,0.0,0.0,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Evans,1996,1999,3,1,SF,ORL,102,3.7,375,1.6,164,0.8,77,0.3,35,0.2,18,38.1,34.3,82.0,43.0,11.8,0.6,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earl Evans,1979,1980,1,1,PF,DET,36,4.4,157,2.1,75,1.0,37,0.4,14,0.0,1,45.0,38.9,57.1,47.5,10.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Evans,2010,2018,7,1,SF,UTA,250,3.5,879,2.6,641,0.4,107,0.4,90,0.5,121,56.9,23.1,68.7,57.3,17.3,1.2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Evans,2001,2012,9,1,SG,ATL,562,6.7,3747,2.5,1384,0.7,420,0.5,294,0.2,88,44.2,36.3,78.5,50.8,11.9,2.4,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,1979,1988,9,1,PG,DEN,591,7.7,4531,1.4,808,2.6,1514,0.7,430,0.1,51,45.2,30.7,80.7,48.0,12.0,1.0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Evans,2002,2015,13,1,PF,OKC,809,4.1,3289,7.1,5765,0.6,458,0.7,566,0.1,115,46.5,9.1,52.8,46.6,11.7,2.1,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Ewing,2005,2007,2,1,SG,LAC,127,3.4,431,1.2,158,1.4,174,0.5,69,0.1,10,38.9,29.5,78.0,43.3,8.3,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Ewing,2010,2011,1,1,SF,NOP,7,0.4,3,0.3,2,0.3,2,0.0,0,0.1,1,0.0,0.0,75.0,0.0,0.6,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Eyenga,2010,2012,2,1,SF,CLE,51,6.3,320,2.7,137,0.8,40,0.7,37,0.6,33,41.1,27.7,61.1,45.0,8.6,-0.2,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festus Ezeli,2012,2016,3,1,C,GSW,170,4.2,712,4.3,725,0.4,63,0.3,48,1.0,166,51.3,0.0,55.7,51.3,13.4,2.0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dick Farley,1954,1959,3,1,SG,PHI,211,6.5,1378,2.5,527,1.8,386,0.0,0,0.0,0,38.4,0.0,70.0,0.0,12.1,2.7,8.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jordan Farmar,2006,2017,10,1,PG,LAL,504,7.7,3888,1.9,958,2.9,1453,0.8,391,0.1,56,42.3,37.4,73.9,50.7,13.3,1.4,13.9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Desmon Farmer,2006,2009,2,1,SG,OKC,11,2.4,26,0.6,7,1.0,11,0.1,1,0.0,0,31.0,25.0,100.0,39.7,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Farmer,1987,1994,5,1,SG,DEN,136,5.3,715,1.4,186,0.8,111,0.3,42,0.0,4,42.8,28.2,73.0,44.5,10.9,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Farmer,1958,1966,7,1,SF,ATL,423,6.7,2816,4.6,1950,1.3,550,0.0,0,0.0,0,39.3,0.0,81.4,0.0,9.9,0.9,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Farmer,1997,2000,2,1,C,CHO,101,5.3,532,3.2,327,0.8,79,0.8,76,0.2,20,39.5,18.9,77.0,40.8,15.5,1.6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vítor Luiz Faverani,2013,2014,1,1,C,BOS,37,4.4,164,3.5,128,0.4,16,0.4,14,0.7,27,43.5,30.0,64.9,47.6,11.0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Fazekas,2007,2008,1,1,PF,DAL,26,4.1,107,3.4,89,0.4,11,0.3,8,0.4,11,56.1,0.0,68.2,56.1,19.6,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Fedor,1962,1963,1,1,NA,GSW,7,0.9,6,0.9,6,0.1,1,0.0,0,0.0,0,30.0,0.0,0.0,0.0,2.2,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butch Feher,1976,1977,1,1,SG,PHO,48,5.2,248,1.5,74,0.8,36,0.2,11,0.1,7,53.1,0.0,76.8,0.0,15.9,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Feick,1996,2001,5,1,C,BRK,201,4.5,911,7.1,1437,0.7,139,0.6,117,0.4,90,42.4,40.0,62.9,43.2,12.4,1.6,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Feiereisel,1955,1956,1,1,NA,LAL,10,3.0,30,0.6,6,0.6,6,0.0,0,0.0,0,28.6,0.0,87.5,0.0,12.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Feigenbaum,1949,1953,2,1,PG,BLB,17,3.1,52,1.4,7,1.1,19,0.0,0,0.0,0,22.8,0.0,48.5,0.0,2.2,-0.3,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Feitl,1986,1992,5,1,C,HOU,275,4.3,1192,3.0,815,0.5,125,0.2,46,0.2,46,43.3,0.0,75.1,43.3,9.8,0.3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kay Felder,2016,2018,2,1,PG,CLE,58,3.8,223,1.0,59,1.3,78,0.4,21,0.1,8,36.4,26.8,75.4,38.8,9.3,-0.2,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrick Felix,2013,2014,1,1,SG,CLE,7,2.7,19,0.9,6,0.6,4,0.0,0,0.0,0,50.0,40.0,75.0,57.1,13.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noel Felix,2005,2006,1,1,SF,OKC,12,1.5,18,1.1,13,0.2,2,0.2,2,0.3,3,24.0,33.3,62.5,26.0,-1.1,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Felix,1953,1962,9,1,C,NYK,637,10.9,6974,8.9,5654,0.7,456,0.0,0,0.0,0,41.2,0.0,67.8,0.0,17.1,4.4,39.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Raymond Felton,2005,2019,14,1,PG,CHO,971,11.2,10853,3.0,2867,5.2,5096,1.2,1144,0.2,207,41.2,32.9,79.0,45.9,13.8,2.9,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jake Fendley,1951,1953,2,1,SG,DET,103,2.8,287,1.2,126,0.9,94,0.0,0,0.0,0,34.4,0.0,74.2,0.0,10.2,1.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desmond Ferguson,2003,2004,1,1,SF,POR,7,1.9,13,0.6,4,0.1,1,0.0,0,0.0,0,41.7,37.5,0.0,54.2,11.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Fernández,2008,2012,4,1,SG,POR,249,9.1,2254,2.4,608,2.2,554,1.0,249,0.2,40,39.9,36.0,84.0,51.1,14.0,3.5,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eric Fernsten,1975,1984,6,1,C,BOS,218,2.4,517,1.7,372,0.4,82,0.2,52,0.2,51,44.5,0.0,67.5,44.5,11.7,0.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Al Ferrari,1955,1963,6,1,SG,ATL,371,6.8,2525,2.2,830,2.5,943,0.0,0,0.0,0,36.8,0.0,76.0,0.0,9.5,1.5,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rolando Ferreira,1988,1989,1,1,C,POR,12,0.8,9,1.1,13,0.1,1,0.0,0,0.1,1,5.6,0.0,87.5,5.6,-7.6,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duane Ferrell,1988,1999,11,1,SF,ATL,583,6.4,3704,1.9,1132,0.9,509,0.5,302,0.2,105,48.0,28.8,75.0,48.7,12.9,1.4,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnie Ferrin,1948,1951,3,1,NA,LAL,178,5.8,1037,4.0,271,1.6,278,0.0,0,0.0,0,33.2,0.0,68.6,0.0,0.0,2.5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Bob Ferry,1959,1969,10,1,C,WAS,634,9.1,5780,5.3,3343,1.4,906,0.0,0,0.0,0,43.3,0.0,66.4,0.0,13.8,2.0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ferry,1990,2003,13,1,PF,CLE,917,7.0,6439,2.8,2550,1.3,1185,0.4,384,0.3,292,44.6,39.3,84.0,50.6,11.8,2.7,34.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kyrylo Fesenko,2007,2012,5,1,C,UTA,135,2.3,305,2.0,269,0.3,40,0.1,19,0.4,53,49.6,0.0,41.0,49.6,8.5,0.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Fields,1984,1988,4,1,SF,MIL,184,6.2,1140,2.5,464,1.0,188,0.5,97,0.2,38,47.4,18.8,73.3,47.5,11.7,1.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landry Fields,2010,2015,5,1,SF,TOR,255,6.8,1731,4.3,1092,1.6,419,0.8,212,0.2,45,47.3,33.2,66.6,51.5,12.1,2.1,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ron Filipek,1967,1968,1,1,NA,PHI,19,2.3,43,1.3,25,0.4,7,0.0,0,0.0,0,38.3,0.0,50.0,0.0,13.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Fillmore,1970,1972,2,1,C,NYK,49,2.4,118,2.2,108,0.4,20,0.0,0,0.0,0,40.3,0.0,46.7,0.0,8.1,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hank Finkel,1966,1975,9,1,C,BOS,551,5.1,2790,3.9,2151,0.8,426,0.1,10,0.1,10,44.9,0.0,66.2,0.0,12.6,1.5,13.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Michael Finley,1995,2010,15,1,SF,DAL,1103,15.7,17306,4.4,4804,2.9,3245,0.9,996,0.3,323,44.4,37.5,81.1,49.2,16.0,5.7,85.2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Danny Finn,1952,1955,3,1,PG,GSW,142,7.3,1042,3.9,548,4.0,566,0.0,0,0.0,0,32.7,0.0,59.9,0.0,13.0,0.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Fish,1994,1997,3,1,C,LAC,50,3.5,177,2.2,110,0.5,25,0.4,19,0.3,14,50.0,0.0,62.5,50.0,11.9,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Fisher,1996,2014,18,1,PG,LAL,1287,8.3,10713,2.1,2658,3.0,3804,1.1,1352,0.1,98,39.9,37.4,81.7,46.6,11.7,3.5,62.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Gerald Fitch,2005,2006,1,1,PG,MIA,18,4.7,84,1.7,30,1.8,33,0.4,7,0.3,5,33.7,26.9,73.9,37.6,10.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Fizer,2000,2006,6,1,PF,CHI,289,9.6,2782,4.6,1340,1.2,352,0.5,134,0.3,81,43.5,19.1,69.1,43.9,13.4,0.5,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Al Fleming,1977,1978,1,1,SF,OKC,20,2.0,40,1.5,30,0.4,7,0.0,0,0.3,5,48.4,0.0,58.8,0.0,10.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Fleming,1955,1960,5,1,SG,LAL,292,8.6,2511,5.2,1532,1.9,544,0.0,0,0.0,0,35.9,0.0,73.1,0.0,14.1,2.0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vern Fleming,1984,1996,12,1,PG,IND,893,11.3,10125,3.4,3012,4.8,4293,1.0,926,0.1,105,49.8,18.1,76.4,50.1,15.1,4.3,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Flores,2004,2005,1,1,PG,GSW,16,2.2,35,0.2,3,0.7,11,0.1,2,0.0,0,48.3,50.0,100.0,56.9,10.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Flowers,1982,1983,1,1,PF,CLE,53,4.9,261,3.4,180,0.9,47,0.4,19,0.2,12,53.4,0.0,77.4,53.4,15.2,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleepy Floyd,1982,1995,13,1,PG,GSW,957,12.8,12260,2.6,2494,5.4,5175,1.2,1120,0.2,215,44.4,32.4,81.5,47.0,15.5,3.9,50.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonny Flynn,2009,2012,3,1,PG,MIN,163,9.2,1504,1.9,307,3.9,634,0.7,122,0.0,7,40.0,33.8,80.9,44.2,11.3,-0.4,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mike Flynn,1975,1978,3,1,SG,IND,211,6.2,1317,2.1,437,2.2,454,0.7,142,0.1,25,41.9,25.3,62.9,42.9,12.1,0.9,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Fogle,1975,1976,1,1,SG,NYK,2,1.0,2,1.5,3,0.0,0,0.5,1,0.0,0,20.0,0.0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Foley,1962,1963,1,1,NA,BOS,11,4.8,53,1.5,16,0.5,5,0.0,0,0.0,0,39.2,0.0,86.7,0.0,15.6,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Fontaine,2001,2002,1,1,SG,MEM,6,1.8,11,0.8,5,0.7,4,0.0,0,0.0,0,21.4,20.0,66.7,25.0,-0.9,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Fontaine,1970,1971,1,1,SG,GSW,35,3.8,134,0.4,15,0.6,22,0.0,0,0.0,0,36.6,0.0,75.7,0.0,12.1,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Foote,2011,2012,1,1,C,NOP,4,1.0,4,1.5,6,0.0,0,0.0,0,0.3,1,33.3,0.0,0.0,33.3,-0.9,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Forbes,2010,2012,2,1,SF,DEN,111,5.8,645,2.0,218,0.9,103,0.4,47,0.1,10,43.4,34.0,70.2,47.8,12.4,0.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphonso Ford,1993,1995,2,1,PG,OKC,11,3.2,35,1.8,20,0.9,10,0.3,3,0.0,0,30.8,10.0,50.0,31.7,4.4,-0.2,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alton Ford,2001,2004,3,1,PF,PHO,73,2.5,186,1.7,124,0.2,11,0.1,6,0.1,8,50.7,0.0,69.7,50.7,9.4,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
