Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team,HOF Probability,HOF Lock
Michael Adams,1985,1996,11,1,PG,WAS,653,14.7,9621,2.9,1900,6.4,4209,1.7,1081,0.1,67,41.5,33.2,84.9,47.5,16.6,4.3,46.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022732673369195662,0
Steven Adams,2013,2022,9,0,C,OKC,664,9.3,6157,8.0,5303,1.5,982,0.9,588,0.9,629,58.7,7.1,54.7,58.7,17.0,6.2,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05272787051309491,0
Rafael Addison,1986,1997,6,1,SF,BRK,379,5.8,2186,2.1,780,0.9,339,0.4,148,0.2,83,44.9,28.2,77.2,46.6,10.5,0.8,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002009477351370033,0
Bam Adebayo,2017,2022,5,0,C,MIA,343,13.5,4617,8.3,2850,3.5,1189,1.0,340,0.9,309,55.8,14.0,74.1,55.9,20.0,7.1,35.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2930587424806052,0
Deng Adel,2018,2019,1,0,SF,CLE,19,1.7,32,1.0,19,0.3,5,0.1,1,0.2,4,30.6,26.1,100.0,38.9,2.7,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009977851487022857,0
Rick Adelman,1968,1975,7,1,PG,POR,462,7.7,3579,2.4,1129,3.5,1606,0.9,106,0.1,9,41.5,0.0,71.3,0.0,11.3,1.4,10.0,1,0,1,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002901195025331117,0
Jeff Adrien,2010,2015,5,1,PF,CHO,153,4.6,709,4.3,659,0.7,100,0.3,50,0.5,79,47.4,0.0,62.8,47.4,15.0,0.9,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022710637908590855,0
Arron Afflalo,2007,2018,11,1,SG,DEN,762,10.8,8198,2.9,2176,1.8,1386,0.4,341,0.2,141,45.0,38.6,82.5,51.4,11.9,3.0,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005898739898900631,0
Maurice Ager,2006,2011,4,1,SG,DAL,82,2.1,169,0.6,46,0.2,19,0.1,6,0.1,6,33.9,25.0,56.6,36.8,2.8,-0.2,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010132812167465875,0
Mark Aguirre,1981,1994,13,1,SF,DAL,923,20.0,18458,5.0,4578,3.1,2871,0.7,687,0.3,296,48.4,31.2,74.1,49.8,19.0,5.2,67.8,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.08234801485375064,0
