Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Adrian Dantley,1976,1991,15,1,SF,UTA,955,24.3,23177,5.7,5455,3.0,2830,1.0,944,0.2,150,54.0,17.1,81.8,54.0,21.5,8.9,134.2,1,2008,6,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
Bob Davies,1948,1955,7,1,PG,ROC,462,14.3,6594,2.9,980,4.9,2250,0.0,0,0.0,0,37.8,0.0,75.9,0.0,18.1,7.1,49.7,1,1970,4,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Dave DeBusschere,1962,1974,12,1,PF,DET,875,16.1,14053,11.0,9618,2.9,2497,0.9,67,0.5,39,43.2,0.0,69.9,0.0,15.5,5.1,60.8,1,1983,8,0,0,0,0,0,2,1,1,0,6,0,0,0,0,0,0,1
Clyde Drexler,1983,1998,15,1,SG,POR,1086,20.4,22195,6.1,6677,5.6,6125,2.0,2207,0.7,719,47.2,31.8,78.8,49.5,21.1,9.0,135.6,1,2004,10,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1
Joe Dumars,1985,1999,14,1,SG,DET,1018,16.1,16401,2.2,2203,4.5,4612,0.9,902,0.1,83,46.0,38.2,84.3,49.8,15.3,6.2,86.2,1,2006,6,0,0,0,0,0,2,3,1,0,5,0,0,0,0,0,1,0
Tim Duncan,1997,2016,19,1,C,SAS,1392,19.0,26496,10.8,15091,3.0,4225,0.7,1025,2.2,3020,50.6,17.9,69.6,50.7,24.2,10.9,206.4,1,2020,15,0,0,0,0,0,5,15,1,1,15,0,0,1,0,2,3,1
Alex English,1976,1991,15,1,SF,DEN,1193,21.5,25613,5.5,6538,3.6,4351,0.9,1067,0.7,833,50.7,21.7,83.2,50.7,19.9,6.7,100.7,1,1997,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Julius Erving,1971,1987,16,1,SF,PHI,1243,24.2,30026,8.5,10525,4.2,5176,2.0,2272,1.7,1941,50.6,29.8,77.7,50.9,23.6,11.3,181.1,1,1993,16,0,0,0,0,0,1,7,1,0,1,0,0,2,0,4,0,1
Patrick Ewing,1985,2002,17,1,C,NYK,1183,21.0,24815,9.8,11607,1.9,2215,1.0,1136,2.4,2894,50.4,15.2,74.0,50.5,21.0,7.4,126.4,1,2008,11,0,0,0,0,0,0,7,1,1,3,0,0,0,0,0,0,1
Walt Frazier,1967,1980,13,1,PG,NYK,825,18.9,15581,5.9,4830,6.1,5040,1.9,681,0.2,63,49.0,0.0,78.6,49.0,19.1,8.7,113.5,1,1987,7,0,0,0,0,0,2,6,1,0,7,0,0,1,0,0,0,1
Joe Fulks,1946,1954,8,1,PF,GSW,489,16.4,8003,5.3,1379,1.2,587,0.0,0,0.0,0,30.2,0.0,76.6,0.0,10.9,3.6,29.2,1,1978,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Harry Gallatin,1948,1958,10,1,PF,NYK,682,13.0,8843,11.9,6684,1.8,1208,0.0,0,0.0,0,39.8,0.0,77.3,0.0,21.6,7.8,78.4,1,1991,7,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Kevin Garnett,1995,2016,21,1,PF,MIN,1462,17.8,26071,10.0,14662,3.7,5445,1.3,1859,1.4,2037,49.7,27.5,78.9,50.1,22.7,9.1,191.4,1,2020,15,0,4,0,0,0,1,9,1,0,12,0,0,1,1,1,0,1
George Gervin,1972,1986,14,1,SG,SAS,1060,25.1,26595,5.3,5602,2.6,2798,1.2,1283,1.0,1047,50.4,27.1,84.1,50.7,21.4,8.3,116.3,1,1996,12,4,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,1
Artis Gilmore,1971,1988,17,1,C,CHI,1329,18.8,24941,12.3,16330,2.3,3050,0.6,648,2.4,3178,58.2,15.0,69.8,58.2,21.4,11.2,189.7,1,2011,11,0,0,0,0,0,0,0,1,1,5,0,0,1,0,1,0,0
Manu Ginóbili,2002,2018,16,1,SG,SAS,1057,13.3,14043,3.5,3697,3.8,4001,1.3,1392,0.3,319,44.7,36.9,82.7,52.0,20.2,6.7,106.4,1,2022,2,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0
Tom Gola,1955,1966,10,1,SG,GSW,698,11.3,7871,8.0,5617,4.2,2962,0.0,0,0.0,0,43.1,0.0,76.0,0.0,14.2,5.3,53.2,1,1976,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gail Goodrich,1965,1979,14,1,SG,LAL,1031,18.6,19181,3.2,3279,4.7,4805,1.3,545,0.2,72,45.6,0.0,80.7,0.0,16.7,5.5,76.3,1,1996,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hal Greer,1958,1973,15,1,SG,PHI,1122,19.2,21586,5.0,5665,4.0,4540,0.0,0,0.0,0,45.2,0.0,80.1,0.0,15.7,6.8,102.7,1,1982,10,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,1
Richie Guerin,1956,1970,13,1,SG,NYK,848,17.3,14676,5.0,4278,5.0,4211,0.0,0,0.0,0,41.6,0.0,78.0,0.0,17.3,5.3,69.2,1,2013,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Cliff Hagan,1956,1970,13,1,SF,STL,839,17.7,14870,6.6,5555,3.2,2646,0.0,0,0.0,0,45.4,0.0,79.9,45.4,19.8,6.6,85.3,1,1978,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Tim Hardaway,1989,2003,13,1,PG,GSW,867,17.7,15373,3.3,2855,8.2,7095,1.6,1428,0.1,129,43.1,35.5,78.2,49.0,18.6,6.5,85.0,1,2022,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
John Havlicek,1962,1978,16,1,SF,BOS,1270,20.8,26395,6.3,8007,4.8,6114,1.2,476,0.3,117,43.9,0.0,81.5,0.0,17.5,8.2,131.7,1,1984,13,0,0,0,0,0,8,11,1,0,8,0,0,0,0,0,1,1
Connie Hawkins,1967,1976,9,1,SF,PHO,616,18.7,11528,8.8,5450,4.1,2556,1.2,244,0.8,150,47.9,16.1,77.9,48.0,19.9,8.5,76.7,1,1992,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Elvin Hayes,1968,1984,16,1,PF,HOU,1303,21.0,27313,12.5,16279,1.8,2398,1.0,864,2.0,1771,45.2,14.7,67.0,45.2,17.7,7.5,120.8,1,1990,12,1,2,0,0,0,1,6,1,0,2,0,0,0,0,0,0,1
Spencer Haywood,1969,1983,13,1,PF,OKC,844,20.3,17111,10.3,8675,1.8,1541,0.6,355,1.1,629,46.9,5.3,79.6,46.9,19.1,6.0,78.5,1,2015,5,0,0,0,0,0,1,4,1,1,0,0,0,1,0,1,0,0
Tom Heinsohn,1956,1965,9,1,PF,BOS,654,18.6,12194,8.8,5749,2.0,1318,0.0,0,0.0,0,40.5,0.0,79.0,0.0,17.9,6.7,60.0,1,1986,6,0,0,0,0,0,8,4,0,1,0,0,0,0,0,0,0,0
Grant Hill,1994,2013,18,1,SF,DET,1026,16.7,17137,6.0,6169,4.1,4252,1.2,1248,0.6,576,48.3,31.4,76.9,49.2,19.0,5.6,99.9,1,2018,7,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0
Bailey Howell,1959,1971,12,1,PF,DET,950,18.7,17770,9.9,9383,2.0,1853,0.0,0,0.0,0,48.0,0.0,76.2,0.0,19.1,9.6,114.8,1,1997,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Lou Hudson,1966,1979,13,1,SG,ATL,890,20.2,17940,4.4,3926,2.7,2432,1.4,516,0.3,98,48.9,0.0,79.7,0.0,17.4,6.2,81.0,1,2022,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Dan Issel,1970,1985,15,1,C,DEN,1218,22.6,27482,9.1,11133,2.4,2907,1.0,943,0.5,532,49.9,20.4,79.3,50.0,21.4,10.5,157.8,1,1993,7,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Allen Iverson,1996,2010,14,1,SG,PHI,914,26.7,24368,3.7,3394,6.2,5624,2.2,1983,0.2,164,42.5,31.3,78.0,45.2,20.9,7.1,99.0,1,2016,11,4,0,0,3,0,0,7,1,1,0,0,0,2,0,1,0,1
Dennis Johnson,1976,1990,14,1,PG,BOS,1100,14.1,15535,3.9,4249,5.0,5499,1.3,1477,0.6,675,44.5,17.2,79.7,44.8,14.6,5.9,82.6,1,2010,5,0,0,0,0,0,3,2,0,0,9,0,0,0,0,0,1,0
Gus Johnson,1963,1973,10,1,PF,BAL,631,16.2,10243,12.1,7624,2.5,1603,0.0,0,0.0,0,44.0,19.0,70.0,44.0,16.7,3.7,36.9,1,2010,5,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0
Magic Johnson,1979,1996,13,1,PG,LAL,906,19.5,17707,7.2,6559,11.2,10141,1.9,1724,0.4,374,52.0,30.3,84.8,53.3,24.1,12.0,155.8,1,2002,12,0,0,4,2,0,5,10,1,0,0,0,0,2,0,3,3,1
Neil Johnston,1951,1959,8,1,C,GSW,516,19.4,10023,11.3,5856,2.5,1269,0.0,0,0.0,0,44.4,0.0,76.8,0.0,24.9,11.5,92.0,1,1990,6,3,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Bobby Jones,1974,1986,12,1,PF,PHI,941,12.1,11391,6.1,5739,2.7,2522,1.5,1387,1.4,1319,56.0,0.0,76.6,56.0,18.2,7.8,94.1,1,2019,5,0,0,0,0,0,1,0,1,0,11,0,1,0,0,0,0,0
Sam Jones,1957,1969,12,1,SG,BOS,871,17.7,15411,4.9,4305,2.5,2209,0.0,0,0.0,0,45.6,0.0,80.3,0.0,18.7,7.7,92.3,1,1984,5,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,1
Michael Jordan,1984,2003,15,1,SG,CHI,1072,30.1,32292,6.2,6672,5.3,5633,2.3,2514,0.8,893,49.7,32.7,83.5,50.9,27.9,14.3,214.0,1,2009,14,10,0,0,3,0,6,11,1,1,9,0,0,3,1,5,6,1
Jason Kidd,1994,2013,19,1,PG,DAL,1391,12.6,17529,6.3,8725,8.7,12091,1.9,2684,0.3,450,40.0,34.9,78.5,46.4,17.9,7.3,138.6,1,2018,10,0,0,5,0,0,1,6,1,1,9,0,0,0,0,0,0,1
Bernard King,1977,1993,14,1,SF,NYK,874,22.5,19655,5.8,5060,3.3,2863,1.0,866,0.3,230,51.8,17.2,73.0,51.9,19.2,5.4,75.4,1,2013,4,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
Bob Lanier,1970,1984,14,1,C,DET,959,20.1,19248,10.1,9698,3.1,3007,1.1,777,1.5,1100,51.4,15.4,76.7,51.4,21.7,8.4,117.1,1,1992,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Clyde Lovellette,1953,1964,11,1,C,LAL,704,17.0,11947,9.5,6663,1.6,1097,0.0,0,0.0,0,44.3,0.0,75.7,0.0,21.7,6.4,70.6,1,1988,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Jerry Lucas,1963,1974,11,1,PF,SAC,829,17.0,14053,15.6,12942,3.3,2732,0.4,28,0.3,24,49.9,0.0,78.3,0.0,18.9,8.9,98.4,1,1980,7,0,0,0,0,0,1,5,1,1,0,0,0,1,0,0,0,1
Ed Macauley,1949,1959,10,1,C,BOS,641,17.5,11234,7.5,4325,3.2,2079,0.0,0,0.0,0,43.6,0.0,76.1,0.0,20.5,10.0,100.4,1,1960,7,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0
Karl Malone,1985,2004,19,1,PF,UTA,1476,25.0,36928,10.1,14968,3.6,5248,1.4,2085,0.8,1145,51.6,27.4,74.2,51.8,23.9,12.3,234.6,1,2010,14,0,0,0,0,0,0,14,1,0,4,0,0,2,0,2,0,1
Moses Malone,1974,1995,21,1,C,HOU,1455,20.3,29580,12.3,17834,1.3,1936,0.8,1199,1.3,1889,49.5,9.6,76.0,49.5,22.0,8.5,179.1,1,2001,13,0,6,0,0,0,1,8,1,0,2,0,0,0,0,3,1,1
Pete Maravich,1970,1980,10,1,SG,NOJ,658,24.2,15948,4.2,2747,5.4,3563,1.4,587,0.3,108,44.1,66.7,82.0,44.1,18.4,4.7,46.7,1,1987,5,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1
Slater Martin,1949,1960,11,1,PG,LAL,745,9.8,7337,3.4,2302,4.2,3160,0.0,0,0.0,0,36.4,0.0,76.2,0.0,11.6,4.3,47.5,1,1982,7,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
Bob McAdoo,1972,1986,14,1,C,BUF,852,22.1,18787,9.4,8048,2.3,1951,1.0,751,1.5,1147,50.3,8.1,75.4,50.3,20.7,6.4,89.1,1,2000,5,3,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,1
George McGinnis,1971,1982,11,1,PF,INA,842,20.2,17009,11.0,9233,3.7,3089,1.9,1448,0.5,332,45.8,27.3,66.4,46.1,20.0,6.8,74.6,1,2017,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0
Tracy McGrady,1997,2012,15,1,SG,HOU,938,19.6,18381,5.6,5276,4.4,4161,1.2,1136,0.9,807,43.5,33.8,74.6,47.0,22.1,6.5,97.3,1,2017,7,2,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0
Dick McGuire,1949,1960,11,1,PG,NYK,738,8.0,5921,4.2,2784,5.7,4205,0.0,0,0.0,0,38.9,0.0,64.4,0.0,15.6,4.6,50.9,1,1993,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kevin McHale,1980,1993,13,1,PF,BOS,971,17.9,17335,7.3,7122,1.7,1670,0.4,344,1.7,1690,55.4,26.1,79.8,55.5,20.0,8.7,113.0,1,1999,7,0,0,0,0,0,3,1,1,0,6,0,2,0,0,0,0,1
George Mikan,1948,1956,7,1,C,LAL,439,23.1,10156,13.4,4167,2.8,1245,0.0,0,0.0,0,40.4,0.0,78.2,0.0,27.1,15.5,108.7,1,1959,4,3,1,0,0,0,5,6,0,0,0,0,0,1,0,0,0,1
Vern Mikkelsen,1949,1959,10,1,PF,LAL,699,14.4,10063,9.4,5940,2.2,1515,0.0,0,0.0,0,40.3,0.0,76.6,0.0,18.7,8.3,83.4,1,1995,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Reggie Miller,1987,2005,18,1,SG,IND,1389,18.2,25279,3.0,4182,3.0,4141,1.1,1505,0.2,299,47.1,39.5,88.8,54.4,18.4,9.7,174.4,1,2012,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Yao Ming,2002,2011,8,1,C,HOU,486,19.0,9247,9.2,4494,1.6,769,0.4,189,1.9,920,52.4,20.0,83.3,52.5,23.0,8.2,65.9,1,2016,8,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
Sidney Moncrief,1979,1991,11,1,SG,MIL,767,15.6,11931,4.7,3575,3.6,2793,1.2,924,0.3,228,50.2,28.4,83.1,50.9,18.7,8.2,90.3,1,2019,5,0,0,0,0,0,0,5,0,0,5,0,0,0,2,0,0,0
Earl Monroe,1967,1980,13,1,SG,NYK,926,18.8,17454,3.0,2796,3.9,3594,1.0,473,0.3,121,46.4,0.0,80.7,46.4,17.2,6.0,77.4,1,1990,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Alonzo Mourning,1992,2008,15,1,C,MIA,838,17.1,14311,8.5,7137,1.1,946,0.5,414,2.8,2356,52.7,24.7,69.2,52.9,21.2,6.0,89.7,1,2014,7,0,0,0,0,2,1,2,1,0,2,0,0,0,2,0,0,0
Chris Mullin,1985,2001,16,1,SF,GSW,986,18.2,17911,4.1,4034,3.5,3450,1.6,1530,0.6,549,50.9,38.4,86.5,54.0,18.8,5.8,93.1,1,2011,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
