Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
David Robinson,1989,2003,14,1,C,SAS,987,21.1,20790,10.6,10497,2.5,2441,1.4,1388,3.0,2954,51.8,25.0,73.6,51.9,26.2,12.8,178.7,1,2009,10,1,1,0,0,1,2,10,1,1,8,0,0,0,1,1,0,1
Guy Rodgers,1958,1970,12,1,PG,GSW,892,11.7,10415,4.3,3791,7.8,6917,0.0,0,0.0,0,37.8,0.0,72.1,0.0,13.6,2.8,33.3,1,2014,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Rodman,1986,2000,14,1,PF,DET,911,7.3,6683,13.1,11954,1.8,1600,0.7,611,0.6,531,52.1,23.1,58.4,52.9,14.6,6.4,89.8,1,2011,2,0,7,0,0,0,5,2,0,0,8,0,0,0,2,0,0,1
Bill Russell,1956,1969,13,1,C,BOS,963,15.1,14522,22.5,21620,4.3,4100,0.0,0,0.0,0,44.0,0.0,56.1,0.0,18.9,12.6,163.5,1,1975,12,0,4,0,0,0,11,11,0,0,1,0,0,1,0,5,0,1
Ralph Sampson,1983,1992,9,1,C,HOU,456,15.4,7039,8.8,4011,2.3,1038,0.9,390,1.6,752,48.6,17.2,66.1,48.7,16.0,2.2,20.1,1,2012,4,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
Dolph Schayes,1949,1964,15,1,PF,PHI,996,18.5,18438,12.1,11256,3.1,3072,0.0,0,0.0,0,38.0,0.0,84.9,0.0,22.1,9.5,142.4,1,1973,12,0,1,0,0,0,1,12,0,0,0,0,0,0,0,0,0,1
Charlie Scott,1970,1980,10,1,SG,PHO,717,20.7,14837,4.0,2846,4.9,3515,1.3,608,0.3,152,44.8,25.3,77.3,44.9,15.8,4.1,41.4,1,2018,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Bill Sharman,1950,1961,11,1,SG,BOS,711,17.8,12665,3.9,2793,3.0,2101,0.0,0,0.0,0,42.6,0.0,88.3,0.0,18.3,7.5,82.8,1,1976,8,0,0,0,0,0,4,7,0,0,0,0,0,1,0,0,0,1
Jack Sikma,1977,1991,14,1,C,OKC,1107,15.6,17287,9.8,10816,3.2,3488,1.0,1162,0.9,1048,46.4,32.8,84.9,47.1,17.3,8.0,112.5,1,2019,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
John Stockton,1984,2003,19,1,PG,UTA,1504,13.1,19711,2.7,4051,10.5,15806,2.2,3265,0.2,315,51.5,38.4,82.6,54.6,21.8,10.9,207.7,1,2009,10,0,0,9,2,0,0,11,0,0,5,0,0,1,0,0,0,1
Maurice Stokes,1955,1958,3,1,PF,ROC,202,16.4,3315,17.3,3492,5.3,1062,0.0,0,0.0,0,35.1,0.0,69.8,0.0,20.9,5.4,16.1,1,2004,3,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
Isiah Thomas,1981,1994,13,1,PG,DET,979,19.2,18822,3.6,3478,9.3,9061,1.9,1861,0.3,249,45.2,29.0,75.9,46.5,18.1,6.2,80.7,1,2000,12,0,0,1,0,0,2,5,1,0,0,0,0,2,0,0,1,1
David Thompson,1975,1984,9,1,SG,DEN,592,22.7,13422,4.1,2446,3.3,1939,1.0,595,0.9,509,50.5,25.5,78.1,50.7,19.9,7.0,63.3,1,1996,5,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0
Nate Thurmond,1963,1977,14,1,C,GSW,964,15.0,14437,15.0,14464,2.7,2575,0.5,125,2.1,553,42.1,0.0,66.7,0.0,16.5,5.6,78.0,1,1985,7,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1
Jack Twyman,1955,1966,11,1,SF,SAC,823,19.2,15840,6.6,5424,2.3,1861,0.0,0,0.0,0,45.0,0.0,77.8,0.0,17.8,6.8,75.0,1,1983,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Wes Unseld,1968,1981,13,1,C,WAS,984,10.8,10624,14.0,13769,3.9,3822,1.1,628,0.6,367,50.9,50.0,63.3,50.9,16.0,8.5,110.1,1,1988,5,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
Chet Walker,1962,1975,13,1,SF,PHI,1032,18.2,18831,7.1,7314,2.1,2126,0.7,117,0.1,10,47.0,0.0,79.6,0.0,17.6,9.0,117.4,1,2012,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ben Wallace,1996,2012,16,1,C,DET,1088,5.7,6254,9.6,10482,1.3,1437,1.3,1369,2.0,2137,47.4,13.7,41.4,47.5,15.5,5.8,93.5,1,2021,4,0,2,0,0,1,1,5,0,0,6,0,0,0,4,0,0,0
Bill Walton,1974,1987,10,1,C,POR,468,13.3,6215,10.5,4923,3.4,1590,0.8,380,2.2,1034,52.1,0.0,66.0,52.1,20.0,3.9,39.3,1,1993,2,0,1,0,0,1,2,2,0,0,2,0,1,0,0,1,1,1
Bobby Wanzer,1948,1957,9,1,SG,ROC,568,12.2,6924,4.5,1979,3.2,1830,0.0,0,0.0,0,39.3,0.0,80.2,0.0,17.3,7.1,63.9,1,1987,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Chris Webber,1993,2008,15,1,PF,SAC,831,20.7,17182,9.8,8124,4.2,3526,1.4,1197,1.4,1200,47.9,29.9,64.9,48.7,20.9,5.6,84.7,1,2021,5,0,1,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0
Jerry West,1960,1974,14,1,PG,LAL,932,27.0,25192,5.8,5366,6.7,6238,2.6,81,0.7,23,47.4,0.0,81.4,0.0,22.9,11.6,162.6,1,1980,14,1,0,1,0,0,1,12,0,0,5,0,0,1,0,0,1,1
Paul Westphal,1972,1984,12,1,SG,PHO,823,15.6,12809,1.9,1580,4.4,3591,1.3,1022,0.3,262,50.4,27.5,82.0,50.6,19.4,5.6,67.7,1,2019,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
Jo Jo White,1969,1981,12,1,PG,BOS,837,17.2,14399,4.0,3345,4.9,4095,1.3,686,0.2,112,44.4,16.7,83.4,44.4,14.2,4.5,54.0,1,2015,7,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0
Lenny Wilkens,1960,1975,15,1,PG,STL,1077,16.5,17772,4.7,5030,6.7,7211,1.3,174,0.2,26,43.2,0.0,77.4,0.0,16.8,6.4,95.5,1,1989,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Jamaal Wilkes,1974,1986,12,1,SF,LAL,828,17.7,14644,6.2,5117,2.5,2050,1.3,1049,0.3,262,49.9,13.5,75.9,50.0,16.5,5.9,71.3,1,2012,3,0,0,0,0,0,4,0,1,1,2,0,0,0,0,0,0,0
Dominique Wilkins,1982,1999,15,1,SF,ATL,1074,24.8,26668,6.7,7169,2.5,2677,1.3,1378,0.6,642,46.1,31.9,81.1,47.8,21.6,7.8,117.5,1,2006,9,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1
James Worthy,1982,1994,12,1,SF,LAL,926,17.6,16320,5.1,4708,3.0,2791,1.1,1041,0.7,624,52.1,24.1,76.9,52.5,17.7,6.8,81.2,1,2003,7,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,1,1
George Yardley,1953,1960,7,1,SF,DET,472,19.2,9063,8.9,4220,1.7,815,0.0,0,0.0,0,42.2,0.0,78.0,0.0,20.6,8.4,58.5,1,1996,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
