Player,Debut,Last Active,YOE,Position,Team,HOF Probability,First Ballot,Inducted as Player
Robert Archibald,2002,2004,2,PF,MEM,0.0011959532408020639,0,0
Tiny Archibald,1970,1984,13,PG,SAC,0.9895769668768061,0,1
Ryan Arcidiacono,2017,2022,5,PG,CHI,0.0030901603864301294,0,0
Jim Ard,1970,1978,8,C,BOS,0.0015865527579025384,0,0
Gilbert Arenas,2001,2012,11,PG,WAS,0.27886940553422374,0,0
Trevor Ariza,2004,2022,18,SF,HOU,0.004047699512633197,0,0
Paul Arizin,1950,1962,10,SF,GSW,0.9999461700762247,0,1
Joe Arlauckas,1987,1988,1,SF,SAC,0.0010668709512899643,0,0
B.J. Armstrong,1989,2000,11,PG,CHI,0.02138572454801854,0,0
Bob Armstrong,1956,1957,1,,GSW,0.0010927820605154757,0,0
Brandon Armstrong,2001,2004,3,SG,BRK,0.001004746820503509,0,0
Curly Armstrong,1948,1951,3,,DET,0.007953376860886973,0,0
Darrell Armstrong,1994,2008,14,PG,ORL,0.006445418478606029,0,0
Hilton Armstrong,2006,2014,6,C,NOP,0.001956294071786894,0,0
Tate Armstrong,1977,1979,2,SG,CHI,0.0012613453372952495,0,0
Jesse Arnelle,1955,1956,1,PF,DET,0.001151487565327534,0,0
Jay Arnette,1963,1966,3,PG,SAC,0.0011598801878017226,0,0
Carlos Arroyo,2001,2011,9,PG,UTA,0.004516941323184887,0,0
Darrell Arthur,2008,2018,9,PF,DEN,0.0027406646555467365,0,0
John Arthurs,1969,1970,1,,MIL,0.001171634046541004,0,0
Jamel Artis,2017,2018,1,SG,ORL,0.0011480980970566196,0,0
Ömer Aşık,2010,2018,8,C,NOP,0.006312623309729199,0,0
Vincent Askew,1987,1998,9,SG,OKC,0.005553558822690306,0,0
Keith Askins,1990,1999,9,SF,MIA,0.003190455950439673,0,0
Don Asmonga,1953,1954,1,,BLB,0.00092565847417575,0,0
Dick Atha,1955,1958,2,SG,NYK,0.0015084556911343864,0,0
Chucky Atkins,1999,2010,11,PG,DET,0.0045178801243018225,0,0
Al Attles,1960,1971,11,PG,GSW,0.007253300358486835,0,0
Stacey Augmon,1991,2006,15,SG,ATL,0.004099492262427501,0,0
D.J. Augustin,2008,2022,14,PG,CHO,0.0056821372823486595,0,0
James Augustine,2006,2008,2,PF,ORL,0.001292577930127265,0,0
Isaac Austin,1991,2002,9,C,UTA,0.002061327248987382,0,0
Johnny Austin,1966,1968,2,SG,WAS,0.0017091297165496002,0,0
Ken Austin,1983,1984,1,SF,DET,0.001190444383021631,0,0
Deni Avdija,2020,2022,2,SF,WAS,0.00507055230098438,0,0
Anthony Avent,1992,2000,6,PF,MIL,0.0011122551886659816,0,0
William Avery,1999,2002,3,PG,MIN,0.0009205563391667776,0,0
Dennis Awtrey,1970,1982,12,C,PHO,0.003229148673732834,0,0
Joel Ayayi,2021,2022,1,SG,WAS,0.0012081335121728934,0,0
Gustavo Ayón,2011,2014,3,C,NOP,0.004579336481992826,0,0
Jeff Ayres,2009,2016,6,C,IND,0.00262512858816316,0,0
Deandre Ayton,2018,2022,4,C,PHO,0.1162428772842812,0,0
Kelenna Azubuike,2006,2012,5,SG,GSW,0.004542543642921689,0,0
Udoka Azubuike,2020,2022,2,C,UTA,0.001644782341825204,0,0
Chris Babb,2013,2014,1,SG,BOS,0.001191528934076653,0,0
Luke Babbitt,2010,2018,8,SF,POR,0.0020833368587806524,0,0
Miloš Babić,1990,1992,2,PF,CLE,0.0010894773022025086,0,0
Dwayne Bacon,2017,2021,4,SG,CHO,0.0013024824965681542,0,0
Jim Baechtold,1952,1957,5,SF,NYK,0.010451821328962975,0,0
Dalibor Bagarić,2000,2003,3,C,CHI,0.000920796008586746,0,0
John Bagley,1982,1994,11,PG,CLE,0.0025710952503169766,0,0
Marvin Bagley III,2018,2022,4,PF,SAC,0.004242719745499929,0,0
Carl Bailey,1981,1982,1,C,POR,0.0011867576951169819,0,0
Gus Bailey,1974,1980,5,SG,HOU,0.0013760856869533462,0,0
James Bailey,1979,1988,9,PF,OKC,0.0033660683822605247,0,0
Thurl Bailey,1983,1999,12,PF,UTA,0.00826107400371084,0,0
Toby Bailey,1998,2000,2,SG,PHO,0.0017827103016080058,0,0
Cameron Bairstow,2014,2016,2,PF,CHI,0.0010962108024123644,0,0
Mark Baker,1998,1999,1,PG,TOR,0.0011105927245905322,0,0
Maurice Baker,2004,2005,1,PG,LAC,0.0012119672631191662,0,0
Ron Baker,2016,2019,3,SG,NYK,0.0012739997781929838,0,0
Vin Baker,1993,2006,13,PF,OKC,0.16289127533822798,0,0
Wade Baldwin,2016,2019,3,PG,POR,0.0010800564777468942,0,0
Renaldo Balkman,2006,2012,6,SF,NYK,0.002762326416566444,0,0
Cedric Ball,1990,1991,1,PF,LAC,0.001197915854679726,0,0
LaMelo Ball,2020,2022,2,PG,CHO,0.06528726961752017,0,0
Lonzo Ball,2017,2022,5,PG,LAL,0.005993777705700181,0,0
Greg Ballard,1977,1989,11,SF,WAS,0.017199192227214763,0,0
Mo Bamba,2018,2022,4,C,ORL,0.00779024575165401,0,0
Desmond Bane,2020,2022,2,SG,MEM,0.07792656625966574,0,0
Gene Banks,1981,1987,6,SF,SAS,0.044218365046043415,0,0
Marcus Banks,2003,2011,8,PG,BOS,0.0019183315907157004,0,0
Ken Bannister,1984,1991,5,PF,LAC,0.0012112791698231078,0,0
Mike Bantom,1973,1982,9,SF,IND,0.01231736480747794,0,0
Dalano Banton,2021,2022,1,SF,TOR,0.0016593282937468884,0,0
Cat Barber,2021,2022,1,PG,ATL,0.0011105660584514654,0,0
John Barber,1956,1957,1,,ATL,0.001194194172242156,0,0
Leandro Barbosa,2003,2017,14,SG,PHO,0.004042097324674403,0,0
Steve Bardo,1991,1996,3,SG,SAS,0.0011868747317471853,0,0
J.J. Barea,2006,2020,14,PG,DAL,0.002484663210977712,0,0
Andrea Bargnani,2006,2016,10,PF,TOR,0.003213015662424977,0,0
Cliff Barker,1949,1952,3,SG,INO,0.0020628872830041832,0,0
Tom Barker,1976,1979,2,C,ATL,0.0020379233282651343,0,0
Charles Barkley,1984,2000,16,PF,PHI,0.9999929615488008,1,1
Erick Barkley,2000,2002,2,PG,POR,0.0012787098282221515,0,0
Don Barksdale,1951,1955,4,PF,BLB,0.011910608424160665,0,0
Harrison Barnes,2012,2022,10,PF,GSW,0.015466990046617909,0,0
Harry Barnes,1968,1969,1,SF,HOU,0.0008364193278587262,0,0
Jim Barnes,1964,1971,7,PF,NYK,0.004298288469961843,0,0
Marvin Barnes,1974,1980,6,PF,SSL,0.039155181589843824,0,0
Matt Barnes,2003,2017,14,SF,LAC,0.005003270590957168,0,0
Scottie Barnes,2021,2022,1,PF,TOR,0.24764980192874197,0,0
Dick Barnett,1959,1974,14,SG,NYK,0.020157621871022824,0,0
Jim Barnett,1966,1977,11,SG,HOU,0.0058879500701392,0,0
John Barnhill,1962,1972,10,PG,ATL,0.002414358734607622,0,0
Norton Barnhill,1976,1977,1,SG,OKC,0.001199266749149979,0,0
Leo Barnhorst,1949,1954,5,SF,INO,0.02830021453682499,0,0
Moe Barr,1970,1971,1,,SAC,0.0012946687018118193,0,0
Andre Barrett,2004,2008,4,PG,HOU,0.0012649891248640778,0,0
Ernie Barrett,1953,1956,2,SG,BOS,0.0016063987645161886,0,0
RJ Barrett,2019,2022,3,SG,NYK,0.004641040221201003,0,0
Earl Barron,2005,2015,8,C,MIA,0.001067340148490763,0,0
Dana Barros,1989,2004,14,PG,BOS,0.010849261094852508,0,0
Brent Barry,1995,2009,14,SG,OKC,0.012388430072022467,0,0
Drew Barry,1997,2000,3,PG,ATL,0.0013928777414380462,0,0
Jon Barry,1992,2006,14,SG,MIL,0.004340384623499172,0,0
Rick Barry,1965,1980,14,SF,GSW,0.9999466426602217,0,1
Ed Bartels,1949,1951,2,,DNN,0.0006956820570861383,0,0
Vic Bartolome,1971,1972,1,C,GSW,0.0008459451938328934,0,0
Will Barton,2012,2022,10,SG,DEN,0.005048622666494985,0,0
Eddie Basden,2005,2006,1,SF,CHI,0.0014113591504954926,0,0
Jerry Baskerville,1975,1976,1,SF,PHI,0.0011964319879185273,0,0
Brandon Bass,2005,2017,12,PF,BOS,0.007872186443577879,0,0
Paris Bass,2021,2022,1,SF,PHO,0.0011742928535294112,0,0
Tim Bassett,1973,1980,7,PF,BRK,0.0038355190968815322,0,0
Charles Bassey,2021,2022,1,PF,PHI,0.0023598077669561837,0,0
Maceo Baston,2002,2009,4,PF,TOR,0.001890061491480604,0,0
Mengke Bateer,2001,2004,3,C,DEN,0.0011712056322997417,0,0
Billy Ray Bates,1979,1983,4,SG,POR,0.004031307860581749,0,0
Keita Bates-Diop,2018,2022,4,SF,MIN,0.0021273412277355293,0,0
Esteban Batista,2005,2007,2,PF,ATL,0.0012894697273433137,0,0
Mike Batiste,2002,2003,1,PF,MEM,0.0022707792894611284,0,0
Tony Battie,1997,2012,14,C,BOS,0.003949620262017302,0,0
Shane Battier,2001,2014,13,SF,MEM,0.021694310729515193,0,0
John Battle,1985,1995,10,SG,ATL,0.0032730567520135112,0,0
Kenny Battle,1989,1993,4,SG,PHO,0.002324560713707392,0,0
Dave Batton,1982,1984,2,C,WAS,0.001503202210650005,0,0
Nicolas Batum,2008,2022,14,SF,POR,0.00933771051173795,0,0
Lonny Baxter,2002,2006,4,PF,CHI,0.0020006063985793573,0,0
Jerryd Bayless,2008,2019,11,PG,POR,0.002934622576264401,0,0
Elgin Baylor,1958,1972,14,SF,LAL,0.9999596310084244,1,1
Aron Baynes,2012,2021,9,C,SAS,0.004502315238935976,0,0
Sergei Bazarevich,1994,1995,1,PG,ATL,0.001398339603174101,0,0
Kent Bazemore,2012,2022,10,SG,ATL,0.0025784625567749774,0,0
Darius Bazley,2019,2022,3,PF,OKC,0.0017502031727101583,0,0
Ed Beach,1950,1951,1,,LAL,0.0009147898475279711,0,0
Bradley Beal,2012,2022,10,SG,WAS,0.15983941814074618,0,0
Butch Beard,1969,1979,9,PG,NYK,0.019488850210020624,0,0
Ralph Beard,1949,1951,2,,INO,0.3552859741096002,0,0
Jerome Beasley,2003,2004,1,PF,MIA,0.0011992928624762146,0,0
Malik Beasley,2016,2022,6,SG,DEN,0.004000126364874212,0,0
Michael Beasley,2008,2019,11,PF,MIA,0.0022933875811413863,0,0
Zelmo Beaty,1962,1975,12,C,ATL,0.7271767705212093,0,1
Rodrigue Beaubois,2009,2013,4,PG,DAL,0.0028720036376685743,0,0
Corey Beck,1995,1999,3,PG,CHO,0.0013885066183247263,0,0
Ernie Beck,1953,1961,7,SG,GSW,0.0027805966540567035,0,0
William Bedford,1986,1993,6,C,DET,0.0012288193031848233,0,0
Ron Behagen,1973,1980,7,PF,SAC,0.004010487965786192,0,0
Elmer Behnke,1951,1952,1,,MLH,0.0010646505554035707,0,0
Marco Belinelli,2007,2020,13,SG,SAS,0.0034774933981815835,0,0
Charlie Bell,2001,2011,7,SG,MIL,0.0038556893159432653,0,0
Dennis Bell,1973,1976,3,SF,NYK,0.0011717223507194529,0,0
Jordan Bell,2017,2022,5,C,GSW,0.002480144713576972,0,0
Raja Bell,2000,2012,12,SG,UTA,0.004679633301874624,0,0
Troy Bell,2003,2004,1,PG,MEM,0.0009985249215501983,0,0
Whitey Bell,1959,1961,2,PG,NYK,0.0011472328467557313,0,0
Walt Bellamy,1961,1975,14,C,ATL,0.5080349219435227,0,1
DeAndre' Bembry,2016,2022,6,SF,ATL,0.001862981798295311,0,0
Irv Bemoras,1953,1957,2,SF,MLH,0.0020440274876882708,0,0
Leon Benbow,1974,1976,2,SG,CHI,0.0022334446659168974,0,0
Dragan Bender,2016,2020,4,PF,PHO,0.0012245947345317662,0,0
Jonathan Bender,1999,2010,8,SF,IND,0.001595339960494439,0,0
Jerrelle Benimon,2014,2015,1,PF,UTA,0.0012119575639542273,0,0
Benoit Benjamin,1985,2000,15,C,LAC,0.0028243020143384773,0,0
Corey Benjamin,1998,2003,4,PG,CHI,0.0009757019816858188,0,0
Anthony Bennett,2013,2017,4,PF,CLE,0.0012412712599574804,0,0
Elmer Bennett,1994,1997,3,PG,CLE,0.001090091924374225,0,0
Mario Bennett,1995,2000,4,PF,PHO,0.001723375621399056,0,0
Mel Bennett,1975,1982,5,PF,IND,0.0013002567575973144,0,0
Tony Bennett,1992,1995,3,PG,CHO,0.0017465375732306928,0,0
