Player,Debut,Last Active,YOE,Position,Team,HOF Probability,First Ballot,Inducted as Player
Slater Martin,1949,1960,11,PG,LAL,0.9125887372332093,0,1
Bob McAdoo,1972,1986,14,C,LAC,0.9067032683571645,0,1
George McGinnis,1971,1982,11,PF,IND,0.8325023210261827,0,1
Tracy McGrady,1997,2012,15,SG,HOU,0.9751814850918619,1,1
Alfred McGuire,1951,1955,4,PG,NYK,0.003484778352612206,0,0
Dick McGuire,1949,1960,11,PG,NYK,0.6607005169876078,0,1
Kevin McHale,1980,1993,13,PF,BOS,0.9889338379209826,1,1
George Mikan,1948,1956,7,C,LAL,0.9999866683906119,1,1
Vern Mikkelsen,1949,1959,10,PF,LAL,0.9769696306424298,0,1
Reggie Miller,1987,2005,18,SG,IND,0.9648297927612728,0,1
Yao Ming,2002,2011,8,C,HOU,0.9970982147565307,1,1
Sidney Moncrief,1979,1991,11,SG,MIL,0.9646006951113855,0,1
Earl Monroe,1967,1980,13,SG,NYK,0.7759146963139915,0,1
Alonzo Mourning,1992,2008,15,C,MIA,0.7545450053794901,1,1
Chris Mullin,1985,2001,16,SF,GSW,0.6316655435147733,0,1
Calvin Murphy,1970,1983,13,PG,HOU,0.051806261387366874,0,1
Dikembe Mutombo,1991,2009,18,C,DEN,0.8718779645611692,1,1
Steve Nash,1996,2014,18,PG,PHO,0.997868474687551,1,1
Don Nelson,1962,1976,14,SF,BOS,0.013887850591065712,0,0
Shaquille O'Neal,1992,2011,19,C,LAL,0.9999993414199836,1,1
Hakeem Olajuwon,1984,2002,18,C,HOU,0.9999894191916077,1,1
Robert Parish,1976,1997,21,C,BOS,0.9744845278963811,1,1
Gary Payton,1990,2007,17,PG,OKC,0.9997898546373151,1,1
Dražen Petrović,1989,1993,4,SG,BRK,0.10258397158505003,0,1
Bob Pettit,1954,1965,11,PF,ATL,0.9999993124192805,1,1
Andy Phillip,1947,1958,11,PG,DET,0.602777151361861,0,1
Paul Pierce,1998,2017,19,SF,BOS,0.9973229297668669,1,1
Scottie Pippen,1987,2004,17,SF,CHI,0.996940882264211,1,1
Jim Pollard,1948,1955,7,SF,LAL,0.7265208886126966,0,1
Dino Radja,1993,1997,4,PF,BOS,0.016686486107864756,0,1
Frank Ramsey,1954,1964,9,SG,BOS,0.033600122881682765,0,1
Willis Reed,1964,1974,10,C,NYK,0.9983024604661102,0,1
Mitch Richmond,1988,2002,14,SG,SAC,0.8701342353397432,0,1
Pat Riley,1967,1976,9,SG,LAL,0.0015184047520239226,0,0
Arnie Risen,1948,1958,10,C,SAC,0.27391810894227836,0,1
Oscar Robertson,1960,1974,14,PG,SAC,0.9999993834118996,1,1
David Robinson,1989,2003,14,C,SAS,0.9999954618457337,1,1
Guy Rodgers,1958,1970,12,PG,GSW,0.05499575753107625,0,1
Dennis Rodman,1986,2000,14,PF,DET,0.6337936460271575,0,1
Bill Russell,1956,1969,13,C,BOS,0.9999993618323157,1,1
Arvydas Sabonis,1995,2003,7,C,POR,0.10841762589720401,0,1
Ralph Sampson,1983,1992,9,C,HOU,0.07124256726913256,0,1
Tom Sanders,1960,1973,13,SF,BOS,0.0096168671620059,0,0
Dolph Schayes,1949,1964,15,PF,PHI,0.9999965498743981,0,1
Charlie Scott,1970,1980,10,SG,PHO,0.20073088561949343,0,1
Bill Sharman,1950,1961,11,SG,BOS,0.9995732482156414,0,1
Jack Sikma,1977,1991,14,C,OKC,0.7880724139357758,0,1
Jerry Sloan,1965,1976,11,SG,CHI,0.044853535488807425,0,0
John Stockton,1984,2003,19,PG,UTA,0.999968163162809,1,1
Maurice Stokes,1955,1958,3,PF,SAC,0.6808631823295284,0,1
Isiah Thomas,1981,1994,13,PG,DET,0.9997135339223504,1,1
David Thompson,1975,1984,9,SG,DEN,0.8216547948686237,0,1
John Thompson,1964,1966,2,PF,BOS,0.00295671595583585,0,0
Rod Thorn,1963,1971,8,SG,OKC,0.004262052267961675,0,0
Nate Thurmond,1963,1977,14,C,GSW,0.9016236434373944,0,1
