Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Josh Richardson,2015,2022,7,0,SG,MIA,437,12.0,5252,3.1,1374,2.7,1171,1.1,464,0.6,262,42.8,36.5,83.9,50.5,12.6,3.4,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malachi Richardson,2016,2019,3,0,SG,SAC,70,2.8,198,1.0,70,0.3,24,0.2,16,0.0,2,35.8,30.1,78.3,43.3,6.2,-0.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Riller,2020,2021,1,0,PG,CHO,7,2.6,18,0.1,1,0.4,3,0.1,1,0.0,0,66.7,50.0,0.0,75.0,23.6,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Rivers,2012,2022,10,0,SG,LAC,654,8.8,5734,2.1,1355,2.2,1437,0.7,465,0.2,108,41.8,34.9,64.9,49.1,9.9,1.4,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Roberson,2013,2021,7,0,SG,OKC,307,4.5,1382,4.0,1230,0.9,265,0.9,268,0.6,199,47.3,25.3,46.8,51.9,9.7,1.8,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Devin Robinson,2017,2019,2,0,SF,WAS,8,6.1,49,3.1,25,0.8,6,0.6,5,0.8,6,57.1,0.0,64.3,57.1,19.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duncan Robinson,2018,2022,4,0,SF,MIA,238,11.9,2829,2.9,697,1.5,359,0.5,124,0.2,53,43.5,40.6,86.0,61.0,11.5,3.3,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Robinson III,2014,2021,7,0,SF,IND,304,5.9,1804,2.6,776,0.8,238,0.5,149,0.2,58,45.7,37.3,77.9,52.1,11.4,1.1,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Robinson,2018,2021,3,0,SG,LAC,113,4.5,514,1.8,208,1.2,131,0.5,51,0.2,26,36.3,31.0,72.1,43.9,6.7,-0.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Robinson,2019,2022,3,0,PG,WAS,43,2.6,112,0.8,33,1.1,48,0.3,12,0.0,2,31.7,31.3,53.8,41.7,4.6,-0.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,2018,2022,4,0,C,NYK,230,8.4,1941,7.5,1720,0.6,128,0.9,197,2.0,458,72.2,0.0,54.0,72.2,21.3,6.2,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jeremiah Robinson-Earl,2021,2022,1,0,C,OKC,49,7.5,366,5.6,274,1.0,49,0.6,29,0.3,15,41.4,35.2,74.1,50.3,11.7,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Roby,2019,2022,3,0,PF,OKC,108,9.0,971,5.2,557,1.6,177,0.8,86,0.7,71,49.6,36.5,71.4,54.6,14.3,1.4,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajon Rondo,2006,2022,16,0,PG,BOS,956,9.8,9331,4.5,4345,7.9,7571,1.6,1517,0.1,125,45.6,32.4,61.1,48.3,15.8,3.9,61.6,0,0,0,0,0,4,0,0,3,1,0,2,1,1,0,4,0,0,0,0,0,0,0
Derrick Rose,2008,2022,13,0,PG,CHI,672,18.2,12230,3.3,2239,5.4,3646,0.8,521,0.3,235,45.7,31.6,83.0,48.3,18.2,3.4,44.2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Terrence Ross,2012,2022,10,0,SG,ORL,670,11.2,7525,2.8,1907,1.3,841,0.8,552,0.3,221,41.7,36.1,83.9,51.1,12.6,2.3,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry Rozier,2015,2022,7,0,PG,BOS,476,12.6,6014,3.9,1863,3.2,1503,0.9,441,0.2,113,41.7,37.5,82.2,50.8,14.9,3.4,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Rubio,2011,2022,11,0,PG,MIN,665,11.1,7399,4.2,2760,7.6,5045,1.8,1200,0.1,88,38.9,32.6,84.3,43.9,15.6,3.8,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D'Angelo Russell,2015,2022,7,0,PG,MIN,424,17.7,7504,3.5,1503,5.6,2370,1.1,471,0.3,119,42.0,35.6,78.1,50.0,16.5,2.1,14.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Domantas Sabonis,2016,2022,6,0,PF,IND,415,14.4,5961,9.2,3815,3.6,1493,0.7,309,0.4,184,53.4,31.9,72.8,55.4,18.7,5.8,34.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Šamanić,2019,2021,2,0,PF,SAS,36,3.8,138,2.2,78,0.6,21,0.2,8,0.3,10,43.0,29.4,57.6,49.2,9.6,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Sampson,2018,2019,1,0,SG,CHI,14,5.1,71,1.1,16,0.7,10,0.6,8,0.2,3,46.7,37.9,66.7,55.8,8.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaKarr Sampson,2014,2021,6,0,SF,PHI,236,5.2,1233,2.7,628,0.7,161,0.4,91,0.5,110,47.1,24.8,67.0,50.0,10.5,0.6,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dario Šarić,2016,2021,5,0,PF,PHI,356,11.7,4180,5.9,2086,2.0,699,0.6,220,0.2,79,44.1,35.7,83.8,51.7,14.0,3.3,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Olivier Sarr,2021,2022,1,0,C,OKC,22,7.0,153,4.2,93,0.9,19,0.3,6,0.7,15,57.4,44.8,82.8,63.9,14.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomáš Satoranský,2016,2022,6,0,SG,WAS,387,6.9,2671,2.9,1111,4.1,1577,0.8,308,0.2,60,46.7,35.3,82.0,52.3,13.3,3.0,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Schakel,2021,2022,1,0,SG,WAS,3,1.7,5,2.3,7,0.0,0,0.3,1,0.0,0,10.0,16.7,100.0,15.0,-0.3,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,2019,2022,2,0,PF,WAS,70,3.4,237,1.9,131,0.6,40,0.2,12,0.1,9,40.0,31.9,73.3,50.0,6.8,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schröder,2013,2022,9,0,PG,ATL,621,14.2,8806,2.9,1829,4.7,2907,0.8,515,0.1,82,43.6,33.8,83.3,48.3,14.7,2.6,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,2012,2021,9,0,PF,ATL,555,6.7,3736,3.1,1727,0.9,499,0.3,182,0.1,74,45.3,36.2,75.7,53.1,12.3,1.9,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Scott,2021,2022,1,0,SF,CLE,2,3.0,6,1.0,2,0.0,0,0.5,1,0.5,1,50.0,0.0,0.0,50.0,20.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Scrubb,2020,2022,2,0,SG,LAC,22,3.8,84,1.4,30,0.4,9,0.4,8,0.1,3,39.0,26.7,80.0,43.9,8.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Selden,2016,2022,4,0,SG,MEM,127,7.2,915,2.0,253,1.5,189,0.4,57,0.1,19,41.5,34.4,71.8,48.4,9.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alperen Şengün,2021,2022,1,0,C,HOU,71,9.6,683,5.5,387,2.5,177,0.8,59,0.9,67,47.8,25.2,71.1,50.5,16.2,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collin Sexton,2018,2022,4,0,PG,CLE,218,20.0,4356,3.0,663,3.3,720,0.8,181,0.1,23,45.8,37.8,82.7,50.4,15.0,1.4,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Landry Shamet,2018,2022,4,0,SG,LAC,261,8.9,2327,1.8,469,1.6,418,0.4,115,0.1,38,40.9,39.0,83.5,54.9,10.0,2.6,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Day'Ron Sharpe,2021,2022,1,0,PF,BRK,32,6.2,198,5.0,160,0.5,17,0.3,10,0.5,15,57.7,28.6,58.5,58.4,20.7,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marial Shayok,2019,2020,1,0,SG,PHI,4,2.8,11,1.8,7,0.3,1,0.0,0,0.3,1,25.0,33.3,75.0,33.3,1.4,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iman Shumpert,2011,2021,10,0,SG,NYK,461,7.2,3320,3.3,1534,1.8,845,1.1,514,0.3,120,39.1,33.7,76.4,46.9,9.7,1.3,12.9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
