Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Deividas Sirvydis,2020,2022,2,0,SG,DET,23,1.9,44,1.5,35,0.3,6,0.2,5,0.0,1,30.0,31.4,50.0,41.0,4.7,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alen Smailagić,2019,2021,2,0,C,GSW,29,3.0,87,1.5,43,0.6,17,0.2,6,0.3,9,46.3,30.4,72.0,51.5,12.4,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javonte Smart,2021,2022,1,0,PG,MIL,16,1.9,31,1.2,19,0.9,15,0.3,5,0.1,2,23.9,21.1,83.3,28.3,2.2,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Smart,2014,2022,8,0,PG,BOS,519,10.5,5434,3.6,1864,4.5,2312,1.6,820,0.4,191,38.2,32.2,78.0,46.6,12.5,3.7,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Dennis Smith Jr.,2017,2022,5,0,PG,NYK,216,10.7,2317,2.9,636,4.2,917,1.1,234,0.3,72,40.2,31.2,65.2,45.0,12.2,-0.1,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ish Smith,2010,2022,12,0,PG,DET,718,7.6,5457,2.5,1790,3.9,2797,0.7,515,0.3,186,43.0,32.5,67.7,45.8,13.3,1.2,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Smith,2020,2022,2,0,PF,PHO,78,6.7,523,4.4,344,0.4,28,0.2,16,0.6,46,49.5,31.7,76.1,55.0,17.0,1.4,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhaire Smith,2018,2020,2,0,SG,PHI,13,3.7,48,1.2,15,0.9,12,0.4,5,0.2,2,37.8,31.6,66.7,44.4,7.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Sneed,2021,2022,1,0,SF,MEM,8,0.6,5,0.5,4,0.0,0,0.0,0,0.0,0,20.0,12.5,0.0,25.0,-1.9,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Snell,2013,2022,9,0,SG,CHI,600,6.1,3664,2.3,1370,1.1,667,0.4,264,0.2,138,43.1,39.4,84.6,54.9,8.9,2.0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Spalding,2018,2021,2,0,PF,DAL,16,3.6,58,3.3,52,0.3,5,0.6,9,0.6,10,52.9,0.0,28.6,52.9,13.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omari Spellman,2018,2020,2,0,PF,ATL,95,6.8,642,4.3,413,1.0,94,0.6,59,0.5,49,41.7,36.6,76.6,49.8,13.4,1.2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaden Springer,2021,2022,1,0,SG,PHI,2,1.0,2,1.0,2,0.0,0,0.0,0,1.0,2,100.0,0.0,0.0,100.0,26.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassius Stanley,2020,2022,2,0,SG,IND,33,2.7,88,1.2,39,0.2,5,0.2,6,0.1,4,36.0,23.3,89.5,39.9,7.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nik Stauskas,2014,2022,6,0,SG,PHI,343,6.7,2290,2.0,691,1.5,515,0.4,139,0.2,80,38.9,35.4,81.2,49.0,9.1,0.7,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Stephens,2013,2019,2,0,SG,MIL,4,2.3,9,1.3,5,0.0,0,0.3,1,0.0,0,44.4,0.0,100.0,44.4,12.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Stephenson,2010,2022,10,0,SG,IND,553,8.5,4728,4.1,2250,2.9,1616,0.6,356,0.1,76,44.5,31.4,69.4,48.9,12.2,1.8,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamar Stevens,2020,2022,2,0,PF,CLE,102,5.3,540,2.5,257,0.7,67,0.5,48,0.3,30,48.1,24.4,71.4,50.6,11.1,1.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Stewart,2020,2022,2,0,C,DET,138,8.1,1116,7.7,1064,1.0,139,0.4,61,1.2,164,52.7,31.8,70.8,54.6,15.0,3.6,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Max Strus,2019,2022,3,0,SF,MIA,109,8.8,962,2.2,244,1.1,116,0.4,39,0.2,18,44.6,39.1,75.6,59.9,12.6,1.5,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Suggs,2021,2022,1,0,PG,ORL,48,11.8,564,3.6,171,4.4,209,1.2,59,0.4,19,36.1,21.4,77.3,40.0,8.6,-1.6,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmond Sumner,2017,2021,4,0,PG,IND,108,5.7,619,1.5,165,1.1,114,0.6,60,0.2,24,47.4,33.3,72.8,53.2,11.3,0.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Swanigan,2017,2020,3,0,PF,POR,75,2.3,169,2.9,218,0.7,56,0.2,14,0.1,11,43.8,11.8,61.4,44.4,6.8,-0.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Sword,2021,2022,1,0,SG,WAS,3,2.0,6,0.0,0,0.3,1,1.3,4,0.0,0,75.0,0.0,0.0,75.0,14.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keifer Sykes,2021,2022,1,0,PG,IND,32,5.6,180,1.4,45,1.9,62,0.4,12,0.1,4,36.3,30.0,88.2,43.4,5.9,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jae'Sean Tate,2020,2022,2,0,SF,HOU,147,11.6,1708,5.4,792,2.7,398,1.1,157,0.5,76,50.1,30.8,70.1,54.7,14.1,3.4,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jayson Tatum,2017,2022,5,0,SF,BOS,364,20.9,7609,6.6,2411,3.0,1103,1.1,409,0.7,252,45.5,38.2,84.4,52.4,18.7,7.0,34.8,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Terry Taylor,2021,2022,1,0,SG,IND,32,9.6,308,5.2,165,1.3,40,0.4,13,0.3,8,61.5,32.4,69.4,64.3,18.9,2.3,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Teague,2009,2021,12,0,PG,ATL,826,12.2,10061,2.4,1989,5.6,4585,1.1,936,0.3,277,44.4,36.0,84.4,48.9,16.8,4.4,52.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Garrett Temple,2009,2022,12,0,SG,WAS,690,6.4,4385,2.3,1618,1.7,1188,0.8,572,0.3,234,40.2,34.3,74.0,49.1,9.4,1.4,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miloš Teodosić,2017,2019,2,0,PG,LAC,60,8.0,477,2.4,142,4.0,241,0.4,26,0.1,6,42.0,37.8,81.1,54.3,11.0,0.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Terrell,2018,2019,1,0,SG,MIN,14,2.2,31,0.4,6,0.9,12,0.2,3,0.1,2,30.8,23.5,50.0,35.9,0.7,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emanuel Terry,2018,2022,2,0,PF,PHO,6,1.7,10,3.7,22,0.7,4,0.7,4,0.0,0,33.3,0.0,50.0,33.3,11.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrell Terry,2020,2022,2,0,PG,DAL,13,1.0,13,0.5,6,0.5,6,0.4,5,0.0,0,35.3,0.0,33.3,35.3,6.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Teske,2021,2022,1,0,C,MEM,3,0.0,0,0.7,2,0.3,1,0.3,1,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Theis,2017,2022,5,0,C,BOS,305,7.6,2306,4.9,1500,1.2,381,0.5,149,0.9,262,54.4,33.0,72.1,59.1,15.9,3.9,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brodric Thomas,2020,2022,2,0,SG,HOU,43,3.3,143,1.4,61,0.9,38,0.3,15,0.3,11,37.1,25.4,66.7,44.0,8.0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Thomas,2021,2022,1,0,SG,BRK,66,8.5,564,2.4,161,1.2,78,0.5,33,0.1,8,43.2,26.7,83.5,47.8,11.7,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Thomas,2011,2022,11,0,PG,SAC,549,17.7,9701,2.4,1320,4.8,2637,0.9,471,0.1,61,43.4,36.2,87.2,50.6,19.6,4.1,45.2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Khyri Thomas,2018,2021,3,0,SG,DET,39,4.1,160,1.0,39,0.9,36,0.5,19,0.3,11,38.8,31.6,75.0,46.7,11.4,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Thomas,2011,2020,9,0,PF,NYK,399,5.1,2050,2.6,1021,0.7,266,0.4,148,0.1,55,41.6,38.1,79.9,46.2,8.3,0.6,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Thomas,2019,2022,3,0,SG,TOR,126,4.0,502,1.2,155,0.5,61,0.2,22,0.0,4,43.3,40.4,80.4,56.6,10.9,0.7,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klay Thompson,2011,2022,9,0,SG,GSW,646,19.5,12606,3.5,2252,2.3,1502,0.9,577,0.5,349,45.7,41.7,85.0,54.9,16.4,5.4,48.4,0,0,0,0,0,5,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0
Tristan Thompson,2011,2022,11,0,PF,CLE,729,9.0,6582,8.4,6115,1.0,725,0.5,364,0.7,501,51.8,26.3,60.5,51.9,15.4,4.3,47.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
JT Thor,2021,2022,1,0,PF,CHO,32,2.1,67,1.3,42,0.6,19,0.3,8,0.3,11,43.6,25.9,60.0,50.0,10.0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindarius Thornwell,2017,2021,4,0,SG,LAC,160,2.5,401,1.3,206,0.7,111,0.5,76,0.2,35,40.7,34.0,67.2,45.9,7.6,0.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matisse Thybulle,2019,2022,3,0,SG,PHI,195,4.8,932,1.9,379,1.1,216,1.6,313,1.0,187,44.9,32.4,65.7,53.8,10.5,2.9,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Killian Tillie,2020,2022,2,0,C,MEM,54,3.2,175,1.6,84,0.6,30,0.5,28,0.4,23,33.7,31.1,73.7,43.8,7.9,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Tillman Sr.,2020,2022,2,0,PF,MEM,111,5.7,637,3.7,413,1.2,135,0.8,92,0.4,48,52.1,28.8,64.2,55.2,15.2,2.4,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Todd,2021,2022,1,0,PF,WAS,11,1.8,20,1.0,11,0.3,3,0.2,2,0.2,2,30.4,28.6,33.3,39.1,7.8,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Tolliver,2008,2021,13,0,PF,MIN,730,6.1,4451,3.3,2416,0.9,650,0.4,272,0.3,215,41.4,37.3,77.1,53.7,10.9,2.0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obi Toppin,2020,2022,2,0,PF,NYK,133,6.5,859,3.0,396,0.8,103,0.3,42,0.4,47,51.8,30.0,74.7,57.3,16.0,2.6,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Toscano-Anderson,2019,2022,3,0,SG,GSW,138,4.8,660,3.3,458,2.2,299,0.7,102,0.3,48,52.1,35.5,61.3,59.1,11.6,1.7,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axel Toupane,2015,2021,3,0,SF,MIL,33,3.1,101,1.2,38,0.6,19,0.3,10,0.3,10,37.8,32.6,75.0,46.1,7.3,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Karl-Anthony Towns,2015,2022,7,0,C,MIN,482,23.2,11170,11.3,5465,3.1,1486,0.8,389,1.4,663,52.7,39.7,83.3,57.7,24.8,9.4,66.1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Gary Trent Jr.,2018,2022,4,0,SG,POR,203,13.5,2735,2.2,453,1.4,285,1.1,227,0.2,47,41.5,38.9,82.0,52.0,13.3,2.4,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allonzo Trier,2018,2020,2,0,SG,NYK,88,9.7,850,2.6,226,1.7,147,0.4,31,0.2,18,45.4,38.4,80.1,51.0,12.5,0.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.J. Tucker,2006,2022,11,0,SF,PHO,777,7.1,5536,5.6,4390,1.5,1149,1.1,887,0.3,240,42.5,36.4,74.8,51.1,10.3,3.6,40.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rayjon Tucker,2019,2022,3,0,SG,UTA,38,2.7,102,0.9,35,0.4,17,0.1,5,0.0,1,47.6,23.1,78.3,52.4,11.9,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myles Turner,2015,2022,7,0,C,IND,431,12.7,5485,6.7,2879,1.2,513,0.7,311,2.3,984,48.9,34.9,76.8,53.5,16.8,4.7,32.8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Ekpe Udoh,2010,2019,7,0,C,MIL,384,3.5,1353,2.9,1100,0.7,260,0.5,177,1.1,429,45.3,0.0,71.8,45.3,12.0,1.5,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ulis,2016,2019,3,0,PG,PHO,133,7.5,998,1.7,223,4.0,537,0.9,118,0.1,12,40.3,28.0,80.8,43.5,11.3,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Uthoff,2016,2020,2,0,PF,DAL,16,3.7,59,1.8,28,0.6,9,0.2,3,0.3,4,41.1,33.3,77.8,46.4,12.3,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Valančiūnas,2012,2022,10,0,C,TOR,695,13.4,9319,9.5,6571,1.2,824,0.4,290,1.0,702,56.3,35.9,78.5,57.5,20.8,6.8,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Denzel Valentine,2016,2022,5,0,SG,CHI,256,7.0,1795,3.3,857,1.8,466,0.6,159,0.1,31,39.4,36.0,78.7,49.8,10.6,0.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred VanVleet,2016,2022,6,0,PG,TOR,348,13.7,4755,3.2,1105,4.9,1704,1.3,439,0.4,131,40.4,38.2,86.0,50.4,16.0,4.4,26.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jarred Vanderbilt,2018,2022,4,0,PF,MIN,165,5.4,892,6.2,1021,1.1,174,1.0,172,0.6,94,59.3,15.0,61.6,59.6,15.6,2.3,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Varejão,2004,2021,14,0,C,CLE,632,7.2,4574,7.2,4531,1.2,737,0.8,537,0.6,407,50.9,2.3,63.0,50.9,15.6,3.3,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Devin Vassell,2020,2022,2,0,SF,SAS,132,9.1,1198,3.6,476,1.4,189,0.9,118,0.4,59,42.1,35.6,83.6,50.9,12.4,2.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Vincent,2019,2022,3,0,PG,MIA,126,6.7,849,1.5,185,2.2,281,0.7,88,0.1,14,39.5,34.1,83.1,50.4,9.4,0.8,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Vonleh,2014,2021,7,0,PF,POR,339,4.9,1660,5.1,1742,0.8,257,0.4,137,0.4,136,45.9,30.8,69.1,49.2,12.0,1.3,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Vučević,2011,2022,11,0,C,ORL,741,16.9,12553,10.4,7731,2.7,2037,0.9,650,0.9,675,49.4,34.8,75.7,51.9,20.5,5.4,58.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean Wade,2019,2022,3,0,PF,CLE,126,5.3,665,3.0,384,1.0,128,0.5,66,0.3,32,44.7,36.5,71.4,56.8,10.9,1.5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franz Wagner,2021,2022,1,0,SF,ORL,79,15.2,1197,4.5,356,2.9,231,0.9,68,0.4,34,46.8,35.4,86.3,51.7,14.7,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moritz Wagner,2018,2022,4,0,C,WAS,195,7.5,1460,3.4,671,1.1,212,0.4,83,0.3,63,48.7,32.1,81.2,55.5,14.6,1.4,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ish Wainright,2021,2022,1,0,PF,PHO,44,2.1,93,1.2,51,0.3,15,0.4,16,0.1,6,38.9,31.4,58.3,47.8,8.8,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion Waiters,2012,2020,8,0,SG,MIA,419,13.1,5505,2.6,1108,2.8,1163,0.9,391,0.3,113,41.2,34.6,69.4,46.8,12.0,1.1,8.8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Kemba Walker,2011,2022,11,0,PG,CHO,741,19.5,14414,3.8,2815,5.3,3919,1.2,921,0.4,280,41.8,36.0,84.0,48.8,19.1,5.4,59.5,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lonnie Walker IV,2018,2022,4,0,SG,SAS,208,9.4,1952,2.4,492,1.6,330,0.5,112,0.2,51,41.4,34.3,77.9,48.6,11.0,0.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.J. Walker,2021,2022,1,0,SG,PHO,2,0.0,0,0.5,1,0.5,1,1.0,2,0.0,0,0.0,0.0,0.0,0.0,-3.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wall,2010,2021,10,0,PG,WAS,613,19.1,11702,4.3,2612,9.1,5557,1.7,1018,0.7,427,43.1,32.3,77.9,46.2,19.2,4.4,44.1,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Tyrone Wallace,2017,2022,4,0,PG,LAC,112,5.1,566,2.1,236,1.1,127,0.5,58,0.2,22,42.2,20.7,65.6,43.8,8.1,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Walton,2017,2022,3,0,PG,DET,45,2.2,101,0.9,42,1.4,64,0.5,21,0.2,7,35.6,37.0,89.5,46.7,8.9,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Wanamaker,2018,2022,4,0,PG,BOS,191,5.5,1046,1.7,329,2.4,464,0.6,123,0.2,33,42.1,30.0,90.7,46.4,11.3,1.4,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Warren,2014,2021,7,0,SF,PHO,332,15.5,5142,4.1,1372,1.2,397,1.0,327,0.5,168,50.7,35.7,78.0,53.6,16.7,2.8,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Washburn,2018,2019,1,0,SF,MEM,18,2.2,40,2.3,41,0.8,14,0.7,13,0.1,2,33.3,20.8,75.0,38.5,6.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duane Washington Jr.,2021,2022,1,0,PG,IND,47,9.7,455,1.8,83,1.8,85,0.5,25,0.1,3,39.9,36.8,75.4,49.2,9.8,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.J. Washington,2019,2022,3,0,PF,CHO,186,11.8,2193,5.8,1070,2.3,430,1.0,177,1.0,183,45.3,37.5,70.1,53.8,13.1,2.6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yuta Watanabe,2018,2022,4,0,SF,MEM,120,3.8,452,2.5,298,0.6,72,0.4,45,0.3,37,41.1,35.8,65.9,49.6,10.8,0.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lindy Waters III,2021,2022,1,0,SG,OKC,25,8.0,199,2.9,73,1.0,24,0.8,19,0.3,8,40.6,36.3,80.0,55.7,13.0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tremont Waters,2019,2022,3,0,PG,BOS,40,3.7,149,0.9,37,2.1,85,0.8,30,0.1,3,35.4,29.6,96.0,42.5,10.5,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trendon Watford,2021,2022,1,0,SF,POR,48,7.6,364,4.1,199,1.7,81,0.5,25,0.6,28,53.2,23.7,75.5,54.9,15.8,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Watson,2019,2022,3,0,SF,TOR,46,3.8,173,1.9,89,0.7,33,0.3,13,0.2,7,42.0,39.2,68.4,55.9,9.7,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinndary Weatherspoon,2019,2022,3,0,SG,SAS,41,2.1,88,0.8,32,0.6,23,0.3,12,0.1,4,45.2,18.8,82.6,47.3,8.5,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Welsh,2018,2019,1,0,C,DEN,11,1.6,18,0.4,4,0.5,5,0.0,0,0.0,0,53.8,42.9,50.0,65.4,16.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Westbrook,2008,2022,14,0,PG,OKC,1021,22.8,23298,7.4,7541,8.4,8611,1.7,1699,0.3,313,43.8,30.5,78.3,46.8,22.6,7.6,106.5,0,0,0,0,0,9,2,0,3,0,0,0,9,1,0,0,0,0,2,0,1,0,1
Coby White,2019,2022,3,0,PG,CHI,195,13.7,2672,3.6,696,3.5,679,0.6,116,0.2,32,41.3,36.5,85.1,50.6,12.1,1.9,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Derrick White,2017,2022,5,0,SG,SAS,262,11.5,3019,3.3,860,3.8,1003,0.8,205,0.8,203,44.1,34.0,83.8,51.2,15.2,3.0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okaro White,2016,2019,3,0,PF,MIA,44,2.7,118,2.2,95,0.5,23,0.3,11,0.3,11,38.1,34.0,88.0,45.7,7.6,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Whiteside,2010,2022,10,0,C,MIA,510,12.6,6443,10.8,5516,0.6,324,0.5,271,2.2,1141,58.6,30.8,60.5,58.7,23.9,5.2,51.8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Greg Whittington,2020,2021,1,0,PF,DEN,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,-10.2,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Wieskamp,2021,2022,1,0,SG,SAS,28,2.2,61,0.5,13,0.3,9,0.1,4,0.1,3,35.7,32.6,53.8,48.2,7.5,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Wiggins,2021,2022,1,0,SG,OKC,50,8.3,416,3.6,178,1.4,68,0.6,30,0.2,10,46.3,30.4,72.9,52.5,10.3,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
