Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Jay Arnette,1963,1966,3,1,PG,SAC,114,3.7,424,1.0,116,1.2,139,0.0,0,0.0,0,36.5,0.0,76.0,0.0,7.7,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Arroyo,2001,2011,9,1,PG,UTA,569,6.6,3770,1.7,965,3.1,1761,0.5,290,0.0,26,43.8,33.8,80.6,45.9,13.4,2.2,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Arthur,2008,2018,9,1,PF,DEN,503,6.5,3282,3.5,1768,0.8,409,0.6,309,0.6,307,44.4,35.2,76.5,47.0,12.2,1.4,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Arthurs,1969,1970,1,1,NA,MIL,11,3.2,35,1.3,14,1.5,17,0.0,0,0.0,0,34.3,0.0,73.3,0.0,11.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamel Artis,2017,2018,1,1,SG,ORL,15,5.1,77,2.5,38,1.2,18,0.1,2,0.2,3,39.2,27.6,58.3,44.3,6.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ömer Aşık,2010,2018,8,1,C,NOP,471,5.3,2479,7.1,3362,0.6,280,0.4,167,0.7,339,52.8,0.0,55.1,52.8,13.4,2.6,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Askew,1987,1998,9,1,SG,OKC,467,7.1,3311,2.5,1176,2.2,1017,0.7,304,0.2,106,47.9,30.0,75.4,49.4,12.6,2.5,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Askins,1990,1999,9,1,SF,MIA,486,3.8,1852,2.9,1428,0.8,375,0.6,278,0.3,170,40.1,35.5,71.7,48.3,9.2,1.6,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Asmonga,1953,1954,1,1,NA,BLB,7,0.7,5,0.1,1,0.7,5,0.0,0,0.0,0,13.3,0.0,100.0,0.0,-7.6,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Atha,1955,1958,2,1,SG,NYK,43,3.2,137,1.5,66,1.2,51,0.0,0,0.0,0,39.3,0.0,79.5,0.0,10.5,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
