Player,Debut,Last Active,YOE,Retired,Position,Team,League,Total Games,Career PPG,Career RPG,Career APG,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Total WS,Hall of Fame,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Alaa Abdelnaby,1990,1995,5,1,PF,POR,NBA,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaid Abdul-Aziz,1968,1978,10,1,C,HOU,NBA,505,9.0,8.0,1.2,42.8,0,72.8,0,15.1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kareem Abdul-Jabbar,1969,1989,20,1,C,LAL,NBA,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,1,1995,19,2,1,0,0,4,6,15,1,1,11,0,0,0,0,6,2,1
Mahmoud Abdul-Rauf,1990,2001,9,1,PG,DEN,NBA,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Tariq Abdul-Wahad,1997,2003,6,1,SG,DEN,NBA,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareef Abdur-Rahim,1996,2008,12,1,PF,MEM,NBA,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tom Abernethy,1976,1981,5,1,SF,GSW,NBA,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest Able,1956,1957,1,1,NA,PHI,NBA,1,0.0,1.0,1.0,0.0,0,-,0,-41.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Abramovic,1946,1948,2,1,NA,PIT,BAA,56,9.5,-,0.7,23.7,0,68.6,0,-,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álex Abrines,2016,2019,3,0,SG,OKC,NBA,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious Achiuwa,2020,2022,2,0,PF,MIA,NBA,133,7.2,5.1,0.8,47.1,36.2,55.6,50.4,13.2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Acker,2005,2009,2,1,SG,DET,NBA,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Ackerman,1953,1954,1,1,PG,NYK,NBA,28,1.5,0.5,0.8,22.2,0,53.6,0,1.0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Acres,1987,1993,6,1,C,ORL,NBA,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bud Acton,1967,1968,1,1,SF,HOU,NBA,23,3.3,2.0,0.5,39.2,0,65.5,0,9.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Acy,2012,2019,7,0,PF,TOR,NBA,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvan Adams,1975,1988,13,1,C,PHO,NBA,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Don Adams,1970,1977,7,1,SF,DET,NBA,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Adams,1972,1975,3,1,SF,SDA,ABA,215,7.7,4.1,1.5,49.7,23.5,79.4,49.9,14.0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Adams,2006,2009,2,1,SG,BRK,NBA,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Adams,2018,2021,2,0,PG,ATL,NBA,41,2.7,1.5,1.6,33.1,32.9,77.8,43.6,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Adams,2014,2016,2,1,SG,MEM,NBA,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Adams,1985,1996,11,1,PG,WAS,NBA,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Adams,2013,2022,9,0,C,OKC,NBA,664,9.3,8.0,1.5,58.7,7.1,54.7,58.7,17.0,56.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rafael Addison,1986,1997,6,1,SF,BRK,NBA,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bam Adebayo,2017,2022,5,0,C,MIA,NBA,343,13.5,8.3,3.5,55.8,14.0,74.1,55.9,20.0,35.5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Deng Adel,2018,2019,1,0,SF,CLE,NBA,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Adelman,1968,1975,7,1,PG,POR,NBA,462,7.7,2.4,3.5,41.5,0,71.3,0,11.3,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Adrien,2010,2015,5,1,PF,CHO,NBA,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arron Afflalo,2007,2018,11,1,SG,DEN,NBA,762,10.8,2.9,1.8,45.0,38.6,82.5,51.4,11.9,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Ager,2006,2011,4,1,SG,DAL,NBA,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Aguirre,1981,1994,13,1,SF,DAL,NBA,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Blake Ahearn,2007,2012,3,1,PG,MIA,NBA,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ainge,1981,1995,14,1,SG,BOS,NBA,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Matthew Aitch,1967,1968,1,1,PF,INA,ABA,45,5.6,3.6,0.4,40.5,0.0,67.5,40.5,11.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinça,2008,2017,7,1,C,NOP,NBA,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Akin,1966,1969,3,1,PF,NYK,NBA,88,3.5,2.1,0.5,35.0,0.0,67.6,35.0,7.4,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Akognon,2012,2013,1,1,PG,DAL,NBA,3,1.7,0.3,0.3,50.0,50.0,-,62.5,15.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeVaughn Akoon-Purcell,2018,2019,1,0,SG,DEN,NBA,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Alabi,2010,2012,2,1,C,TOR,NBA,26,1.5,2.3,0.2,31.4,-,70.0,31.4,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Alarie,1986,1991,5,1,PF,WAS,NBA,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Alcorn,1959,1961,2,1,C,DET,NBA,78,3.3,4.2,0.3,29.3,0,59.8,0,6.5,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santi Aldama,2021,2022,1,0,PF,MEM,NBA,31,3.6,2.5,0.5,39.7,9.3,61.5,41.4,9.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furkan Aldemir,2014,2015,1,1,PF,PHI,NBA,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Aldrich,2010,2018,8,1,C,OKC,NBA,339,3.1,3.3,0.5,52.7,-,73.8,52.7,16.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMarcus Aldridge,2006,2022,16,0,PF,POR,NBA,1076,19.1,8.1,1.9,49.3,32.0,81.3,49.9,20.7,115.7,0,0,7,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
Chuck Aleksinas,1984,1985,1,1,C,GSW,NBA,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Alexander,2015,2016,1,1,PF,POR,NBA,8,1.3,0.8,0.0,50.0,-,-,50.0,11.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Alexander,1995,2005,7,1,PG,SAS,NBA,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Alexander,2000,2003,3,1,PG,WAS,NBA,187,9.0,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gary Alexander,1993,1994,1,1,PF,MIA,NBA,11,1.7,1.4,0.2,57.1,-,33.3,57.1,8.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Alexander,2008,2010,2,1,SF,MIL,NBA,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Alexander,2019,2020,1,0,C,MIA,NBA,2,1.0,1.5,0.0,50.0,-,-,50.0,4.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty-Shon Alexander,2020,2021,1,0,SG,PHO,NBA,15,0.6,0.7,0.4,25.0,22.2,50.0,33.3,4.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Alexander,1991,2002,5,1,C,GSW,NBA,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nickeil Alexander-Walker,2019,2022,3,0,SG,NOP,NBA,157,9.3,2.6,2.2,38.7,32.9,72.6,46.8,10.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Alford,1987,1991,4,1,PG,DAL,NBA,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,14.4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawle Alkins,2018,2019,1,0,SG,CHI,NBA,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Allen,1967,1968,1,1,C,ANA,ABA,38,7.9,7.1,0.6,42.9,100.0,58.6,43.2,11.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Allen,1968,1969,1,1,PF,GSW,NBA,27,1.8,2.1,0.4,32.6,0,55.6,0,6.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson Allen,2018,2022,4,0,SG,MEM,NBA,192,9.4,2.6,1.5,43.3,39.3,84.1,55.9,12.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Allen,2017,2022,5,0,C,BRK,NBA,341,11.6,8.7,1.4,62.6,18.9,69.9,63.0,20.0,34.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Allen,1995,1997,2,1,SG,MIN,NBA,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadeem Allen,2017,2020,3,0,PG,NYK,NBA,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,13.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavoy Allen,2011,2017,6,1,PF,IND,NBA,388,4.8,4.8,1.0,47.1,13.3,68.2,47.2,12.5,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucius Allen,1969,1979,10,1,PG,MIL,NBA,702,13.4,3.1,4.5,46.3,0,76.0,0,15.5,42.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Malik Allen,2001,2011,10,1,PF,MIA,NBA,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Allen,1988,1990,2,1,SG,SAC,NBA,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Allen,1996,2014,18,1,SG,MIL,NBA,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1,1,2018,10,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1
Tony Allen,2004,2018,14,1,SG,MEM,NBA,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
Willie Allen,1971,1972,1,1,PF,FLO,ABA,7,1.9,2.0,0.6,30.8,-,83.3,30.8,5.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odis Allison,1971,1972,1,1,SF,GSW,NBA,36,1.9,1.3,0.3,21.8,0,54.1,0,4.7,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Allred,2007,2008,1,1,C,CLE,NBA,3,1.0,0.3,0.0,25.0,-,50.0,25.0,-1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Allums,1980,1981,1,1,PF,DAL,NBA,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris Almond,2007,2012,3,1,SG,UTA,NBA,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Alston,1994,1997,3,1,C,PHI,NBA,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafer Alston,1999,2010,11,1,PG,HOU,NBA,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Aluma,1998,1999,1,1,C,SAC,NBA,2,1.0,1.0,0.0,50.0,-,-,50.0,3.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Alvarado,2021,2022,1,0,PG,NOP,NBA,53,6.0,1.8,2.9,44.3,29.6,70.6,50.0,16.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Amaechi,1995,2003,5,1,C,ORL,NBA,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashraf Amaya,1995,1997,2,1,PF,MEM,NBA,85,4.5,4.2,0.4,45.5,50.0,63.3,45.7,11.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,2010,2021,11,0,PF,POR,NBA,711,7.5,6.0,1.2,42.0,33.2,74.6,47.8,12.2,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou Amundson,2006,2016,10,1,PF,PHI,NBA,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Anderegg,1959,1960,1,1,SF,NYK,NBA,33,4.0,2.1,0.9,38.5,0,54.8,0,9.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Andersen,2001,2017,15,1,C,DEN,NBA,695,5.4,5.0,0.5,53.2,22.1,65.4,53.5,16.7,39.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
David Andersen,2009,2011,2,1,PF,HOU,NBA,103,4.9,2.8,0.6,44.0,34.7,67.4,47.8,11.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Anderson,2005,2017,8,1,SF,CHO,NBA,330,7.3,2.2,1.1,40.5,34.4,81.6,48.4,10.3,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Anderson,1967,1970,3,1,SG,OAK,ABA,194,10.7,2.7,1.7,41.0,15.9,75.5,41.3,10.9,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Anderson,2009,2010,1,1,SF,OKC,NBA,1,2.0,1.0,0.0,33.3,-,-,33.3,-1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Anderson,1967,1971,4,1,SG,LAL,NBA,84,3.0,1.3,0.9,35.4,-,58.5,35.4,10.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Anderson,1967,1969,2,1,C,NJA,ABA,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Anderson,1974,1976,2,1,SG,POR,NBA,95,3.7,1.0,1.7,47.2,0,84.6,0,12.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Anderson,1997,2008,11,1,SG,POR,NBA,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dwight Anderson,1982,1983,1,1,PG,DEN,NBA,5,4.2,0.4,0.6,50.0,-,70.0,50.0,10.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Anderson,1992,1994,2,1,PF,NYK,NBA,27,1.6,1.1,0.2,34.3,100.0,59.3,37.1,13.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Anderson,1987,1998,10,1,PF,SAS,NBA,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
J.J. Anderson,1982,1985,3,1,SF,UTA,NBA,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Anderson,2010,2016,5,1,SG,SAS,NBA,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Anderson,1975,1977,2,1,SG,BOS,NBA,49,2.6,0.5,0.3,49.0,0,69.4,0,11.4,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Justin Anderson,2015,2022,6,0,SF,DAL,NBA,242,5.3,2.6,0.8,41.0,29.2,77.5,48.2,12.4,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Anderson,1991,2005,14,1,PG,BRK,NBA,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim Anderson,1978,1979,1,1,SF,POR,NBA,21,3.0,2.1,0.7,31.2,0,53.6,0,3.0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Anderson,2014,2022,8,0,SF,SAS,NBA,504,6.6,4.4,2.3,47.6,33.4,71.1,51.4,14.2,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Anderson,1988,1989,1,1,PG,SAS,NBA,36,5.7,2.5,4.3,41.7,14.3,69.5,42.0,10.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Anderson,1989,2002,13,1,SG,ORL,NBA,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Anderson,1982,1990,6,1,PF,HOU,NBA,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Anderson,1984,1994,10,1,SF,PHI,NBA,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Anderson,2008,2020,12,0,PF,NOP,NBA,649,12.3,5.3,0.9,42.2,38.0,85.4,52.3,16.5,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Shandon Anderson,1996,2006,10,1,SG,NYK,NBA,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Willie Anderson,1988,1997,9,1,SG,SAS,NBA,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wally Anderzunas,1969,1970,1,1,SF,SAC,NBA,44,3.6,1.9,0.2,39.2,0,63.0,0,8.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martynas Andriuškevičius,2005,2006,1,1,C,CLE,NBA,6,0.0,0.7,0.0,0.0,-,-,0.0,15.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Anielak,1954,1955,1,1,NA,NYK,NBA,1,3.0,2.0,0.0,0.0,0,75.0,0,1.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ike Anigbogu,2017,2019,2,0,C,IND,NBA,14,0.9,0.9,0.1,33.3,-,83.3,33.3,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Ansley,1989,1992,3,1,SF,ORL,NBA,149,6.9,4.2,0.4,51.3,-,72.2,51.3,17.0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Anstey,1997,2000,3,1,C,DAL,NBA,155,5.2,3.4,0.8,41.3,13.8,75.5,41.6,13.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giannis Antetokounmpo,2013,2022,9,0,PF,MIL,NBA,656,21.8,9.4,4.6,53.5,28.8,71.8,55.8,24.5,87.6,0,0,6,0,0,0,0,0,1,5,1,0,4,1,0,1,1,2,1,1
Kostas Antetokounmpo,2018,2021,3,0,PF,LAL,NBA,22,1.0,1.0,0.1,37.5,-,47.4,37.5,3.6,-0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thanasis Antetokounmpo,2015,2022,4,0,SF,MIL,NBA,126,2.9,1.9,0.6,51.2,15.7,52.0,52.5,11.3,1.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carmelo Anthony,2003,2022,19,0,SF,DEN,NBA,1260,22.5,6.2,2.7,44.7,35.5,81.4,48.5,19.5,108.5,0,0,10,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1
Cole Anthony,2020,2022,2,0,PG,ORL,NBA,112,14.9,5.1,5.0,39.3,33.7,84.6,45.8,13.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Anthony,1991,2002,11,1,PG,NYK,NBA,757,7.3,1.9,4.0,40.3,34.9,73.3,46.7,14.5,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Anthony,2007,2017,10,1,C,MIA,NBA,490,2.2,2.8,0.2,51.3,-,66.2,51.3,9.7,15.3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Pero Antić,2013,2015,2,1,C,ATL,NBA,113,6.3,3.5,0.9,39.2,31.4,73.0,48.3,10.6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG Anunoby,2017,2022,5,0,SF,TOR,NBA,300,10.5,4.1,1.4,47.0,37.3,70.7,55.9,12.8,17.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Keith Appling,2015,2016,1,1,PG,ORL,NBA,5,1.2,0.2,0.2,25.0,0.0,100.0,25.0,-4.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Araújo,2004,2007,3,1,C,TOR,NBA,139,2.8,2.8,0.3,40.5,25.0,67.9,40.6,6.3,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stacey Arceneaux,1961,1962,1,1,NA,STL,NBA,7,7.1,4.6,0.6,39.3,0,46.2,0,10.5,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Archibald,2002,2004,2,1,PF,MEM,NBA,44,1.2,1.6,0.4,28.3,-,42.9,28.3,4.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
