Player,Debut,Last Active,YOE,Retired,Position,Team,League,Total Games,Career PPG,Career RPG,Career APG,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Total WS,Hall of Fame,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Bill Ebben,1957,1958,1,1,NA,DET,NBA,8,1.9,1.0,0.5,21.4,0,75.0,0,1.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Eberhard,1974,1978,4,1,SF,DET,NBA,220,6.8,3.5,0.8,43.3,0,79.7,0,11.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndudi Ebi,2003,2005,2,1,SF,MIN,NBA,19,2.1,1.0,0.2,48.6,0.0,46.2,48.6,14.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roy Ebron,1973,1974,1,1,C,UTS,ABA,40,6.2,4.4,0.5,48.8,0.0,51.2,48.8,18.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaime Echenique,2021,2022,1,0,C,WAS,NBA,1,0.0,0.0,0.0,-,-,-,-,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarell Eddie,2015,2018,3,1,SF,WAS,NBA,34,2.6,0.9,0.1,30.2,29.2,94.1,41.3,10.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Eddie,1991,1992,1,1,C,NYK,NBA,4,1.0,0.3,0.0,22.2,-,-,22.2,-8.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dike Eddleman,1949,1953,4,1,SF,TRI,NBA,267,12.1,4.5,2.1,35.2,0,63.0,0,11.0,7.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenton Edelin,1984,1985,1,1,SF,IND,NBA,10,1.1,2.6,1.0,30.8,-,37.5,30.8,3.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Edge,1973,1975,2,1,SF,MMT,ABA,155,7.7,6.3,0.7,50.2,0.0,63.2,50.2,16.3,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
